Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron McKie,PHI,68.0,3.0,16.4,0.43,0.323,0.513,0.5,0.625,2.5,1.5,0.7,0.2,2.2,8.4,0.51,15.5,8.7,13.4,2.2,1.2,7.1,0.5,1.5,-0.6,0.4,2.0,0.085,0.0,.524,7,2005
Aaron Williams,TOR,42.0,4.0,7.5,0.46,0.0,0.46,0.46,0.882,1.4,0.2,0.1,0.2,1.7,5.9,0.518,16.3,11.1,4.2,0.8,2.0,12.9,-0.1,0.3,-6.7,-0.4,0.3,0.039,0.0,.402,11,2005
Adonal Foyle,GSW,78.0,50.0,21.8,0.502,0.0,0.502,0.502,0.556,5.5,0.7,0.3,2.0,4.5,12.7,0.514,17.7,13.7,4.9,0.8,6.7,10.4,1.2,2.2,-1.2,0.3,3.4,0.096,0.0,.415,12,2005
Adrian Griffin,CHI,69.0,1.0,9.7,0.36,0.222,0.368,0.366,0.75,2.1,0.8,0.6,0.1,2.2,10.7,0.419,15.7,12.2,12.6,3.3,0.4,14.1,-0.1,1.4,0.6,0.4,1.3,0.095,0.0,.573,3,2005
Al Harrington,ATL,66.0,66.0,38.6,0.459,0.216,0.479,0.468,0.672,7.0,3.2,1.3,0.2,17.5,14.4,0.508,15.2,10.5,14.5,1.8,0.5,23.6,0.6,1.0,-2.2,-0.1,1.6,0.03,0.0,.159,15,2005
Al Jefferson,BOS,71.0,1.0,14.8,0.528,0.0,0.533,0.528,0.63,4.4,0.3,0.3,0.8,6.7,16.6,0.554,21.0,17.3,3.9,1.1,3.9,21.2,1.3,1.4,-2.3,-0.1,2.7,0.123,0.0,.549,4,2005
Alan Henderson,DAL,78.0,10.0,15.4,0.527,0.0,0.532,0.527,0.539,4.5,0.3,0.4,0.5,3.5,12.4,0.539,16.8,16.2,2.6,1.2,2.3,11.3,1.5,1.5,-1.4,0.2,3.1,0.122,0.0,.707,3,2005
Aleksandar Radojević,UTA,12.0,6.0,10.7,0.316,0.0,0.316,0.316,0.7,2.3,0.5,0.0,0.2,1.6,-1.5,0.406,18.9,13.6,7.0,0.0,1.3,13.8,-0.4,0.1,-11.6,-0.3,-0.3,-0.117,0.0,.317,14,2005
Alex Garcia,NOP,8.0,3.0,18.2,0.346,0.278,0.382,0.394,0.75,1.9,2.2,0.5,0.1,5.5,8.4,0.409,6.8,6.1,22.1,1.5,0.6,19.7,-0.1,0.1,-3.4,0.0,-0.1,-0.018,0.0,.220,15,2005
Allan Houston,NYK,20.0,11.0,26.6,0.415,0.388,0.432,0.49,0.837,1.2,2.1,0.4,0.1,11.8,12.5,0.529,4.2,2.5,13.4,0.8,0.3,21.0,0.7,0.0,-1.8,0.0,0.7,0.064,0.0,.402,12,2005
Allen Iverson,PHI,75.0,75.0,42.3,0.424,0.308,0.451,0.453,0.835,4.0,7.9,2.4,0.1,30.7,23.2,0.532,8.9,5.3,37.6,2.9,0.2,35.0,5.3,3.7,4.2,5.0,9.0,0.136,0.189,.524,7,2005
Alonzo Mourning,BRK,37.0,17.0,19.0,0.472,0.0,0.472,0.472,0.582,5.4,0.5,0.2,2.0,7.6,15.4,0.515,24.5,16.8,4.6,0.6,8.3,22.1,-0.3,1.5,-0.1,0.3,1.2,0.08,0.0,.512,8,2005
Amar'e Stoudemire,PHO,80.0,80.0,36.1,0.559,0.188,0.564,0.56,0.733,8.9,1.6,1.0,1.6,26.0,26.6,0.617,17.4,13.2,7.7,1.3,3.0,28.3,11.3,3.3,4.4,4.7,14.6,0.243,0.032,.756,1,2005
Anderson Varejão,CLE,54.0,0.0,16.0,0.513,0.0,0.518,0.513,0.535,4.8,0.5,0.8,0.7,4.9,17.0,0.534,20.7,17.6,4.9,2.5,3.3,14.4,1.5,1.4,0.2,0.5,3.0,0.164,0.0,.512,9,2005
Andre Barrett,ORL,38.0,1.0,12.7,0.363,0.269,0.431,0.419,0.737,1.1,1.8,0.5,0.0,3.1,8.6,0.446,6.7,4.7,22.3,2.1,0.1,15.0,-0.1,0.5,-2.8,-0.1,0.4,0.041,0.0,.439,10,2005
Andre Emmett,MEM,8.0,0.0,3.5,0.333,0.0,0.333,0.333,0.6,0.2,0.0,0.0,0.0,0.9,0.9,0.427,8.5,4.3,0.0,0.0,0.0,15.5,0.0,0.0,-11.8,-0.1,0.0,-0.038,0.0,.549,8,2005
Andre Iguodala,PHI,82.0,82.0,32.8,0.493,0.331,0.55,0.536,0.743,5.7,3.0,1.7,0.6,9.0,13.5,0.58,15.9,9.7,14.3,2.6,1.4,12.8,2.7,4.0,1.4,2.3,6.6,0.118,0.0,.524,7,2005
Andre Miller,DEN,82.0,82.0,34.8,0.477,0.154,0.492,0.48,0.838,4.1,6.9,1.5,0.1,13.6,16.5,0.541,9.6,6.8,32.2,2.2,0.2,19.5,4.1,2.9,0.8,2.0,7.0,0.119,0.0,.598,7,2005
Andrei Kirilenko,UTA,41.0,37.0,32.9,0.493,0.299,0.536,0.52,0.784,6.2,3.2,1.6,3.3,15.6,24.4,0.599,15.7,11.7,17.4,2.7,8.5,21.3,3.5,2.0,9.2,3.8,5.5,0.197,0.0,.317,14,2005
Andrew DeClercq,ORL,8.0,0.0,6.1,0.444,0.0,0.444,0.444,0.333,1.2,0.0,0.2,0.0,1.1,5.6,0.436,6.8,11.4,0.0,2.1,0.0,10.1,0.0,0.0,-7.3,-0.1,0.1,0.061,0.0,.439,10,2005
Andris Biedriņš,GSW,30.0,1.0,12.8,0.577,0.0,0.584,0.577,0.475,3.9,0.4,0.4,0.8,3.6,14.8,0.57,21.1,16.7,4.9,1.6,4.4,12.4,0.7,0.6,-1.7,0.0,1.2,0.154,0.0,.415,12,2005
Andrés Nocioni,CHI,81.0,38.0,23.4,0.401,0.258,0.429,0.422,0.766,4.8,1.5,0.5,0.4,8.4,10.1,0.484,18.6,11.4,10.9,1.0,1.3,19.7,-0.9,3.3,-2.0,0.0,2.5,0.062,0.0,.573,3,2005
Anfernee Hardaway,NYK,37.0,0.0,24.2,0.423,0.3,0.452,0.452,0.739,2.4,2.0,0.8,0.1,7.3,9.0,0.48,9.3,5.8,13.2,1.7,0.3,16.9,-0.2,0.4,-3.3,-0.3,0.2,0.009,0.0,.402,12,2005
Ansu Sesay,GSW,16.0,0.0,8.0,0.405,0.25,0.441,0.429,0.542,2.4,0.8,0.1,0.2,3.1,14.8,0.466,17.8,16.1,14.9,0.8,1.7,20.9,0.1,0.1,0.1,0.1,0.2,0.077,0.0,.415,12,2005
Antawn Jamison,WAS,68.0,68.0,38.3,0.437,0.341,0.457,0.466,0.76,7.6,2.3,0.8,0.2,19.6,16.9,0.506,16.1,11.2,10.7,1.1,0.5,24.1,3.8,1.7,-0.5,1.0,5.4,0.1,0.0,.549,5,2005
Anthony Carter,MIN,66.0,12.0,11.2,0.407,0.118,0.438,0.412,0.686,1.0,2.4,0.5,0.3,2.7,11.3,0.454,8.4,5.3,32.2,2.5,1.7,16.4,-0.3,0.8,-1.8,0.0,0.5,0.034,0.0,.537,9,2005
Anthony Goldwire,MIL,33.0,2.0,16.3,0.419,0.4,0.446,0.537,0.839,1.8,2.4,0.5,0.0,5.2,15.1,0.575,10.8,6.4,22.7,1.5,0.0,14.0,1.3,0.2,1.9,0.5,1.5,0.138,0.0,.366,13,2005
Anthony Johnson,IND,63.0,36.0,27.7,0.445,0.38,0.466,0.49,0.752,2.8,4.8,0.9,0.2,8.4,14.3,0.526,9.9,6.1,31.2,1.9,0.7,16.5,2.2,1.8,0.7,1.2,4.0,0.11,0.0,.537,6,2005
Anthony Miller,ATL,2.0,0.0,4.5,0.667,0.0,0.667,0.667,0.0,0.5,0.5,0.5,0.0,2.0,16.9,0.667,13.6,6.5,21.4,5.8,0.0,19.9,0.0,0.0,2.3,0.0,0.0,0.091,0.0,.159,15,2005
Anthony Peeler,WAS,40.0,0.0,13.2,0.373,0.385,0.365,0.457,0.889,1.6,1.4,0.4,0.0,3.8,10.2,0.484,11.2,6.9,16.7,1.8,0.3,15.4,0.2,0.3,-1.9,0.0,0.5,0.048,0.0,.549,5,2005
Antoine Walker,BOS,77.0,77.0,38.4,0.422,0.323,0.455,0.462,0.539,9.0,3.4,1.2,0.8,19.1,15.5,0.478,20.9,13.7,16.3,1.6,1.5,27.2,-1.4,2.3,-0.4,1.2,0.9,0.015,0.0,.549,4,2005
