Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,IND,50.0,0.0,15.9,0.356,0.275,0.427,0.42,0.667,1.4,2.2,0.6,0.0,6.5,10.7,0.454,7.8,5.0,22.7,1.8,0.1,22.7,-0.4,0.7,-2.9,-0.2,0.3,0.02,0.0,.451,8,2011
Aaron Brooks,PHO,59.0,12.0,21.8,0.375,0.297,0.427,0.434,0.886,1.3,3.9,0.6,0.1,10.7,13.1,0.489,5.2,3.5,28.9,1.3,0.2,25.9,0.7,0.4,-3.0,-0.3,1.1,0.04,0.0,.488,10,2011
Aaron Gray,NOH,41.0,6.0,13.0,0.566,0.0,0.566,0.566,0.5,4.2,0.4,0.3,0.3,3.1,11.0,0.566,25.8,19.6,4.7,1.1,1.9,13.1,0.3,0.8,-4.0,-0.3,1.1,0.1,0.0,.561,7,2011
Acie Law,MEM,51.0,0.0,14.2,0.435,0.167,0.5,0.452,0.734,1.2,1.6,0.6,0.0,4.2,9.9,0.502,8.2,5.0,16.3,2.2,0.0,15.7,0.1,0.3,-4.0,-0.4,0.4,0.027,0.0,.561,8,2011
Al Harrington,DEN,73.0,3.0,22.8,0.416,0.357,0.473,0.503,0.735,4.5,1.4,0.5,0.1,10.5,12.3,0.527,17.2,11.5,9.6,1.2,0.5,22.3,0.6,1.5,-1.7,0.1,2.1,0.06,0.0,.610,5,2011
Al Horford,ATL,77.0,77.0,35.1,0.557,0.5,0.557,0.558,0.798,9.3,3.5,0.8,1.0,15.3,20.7,0.587,23.7,16.0,17.5,1.2,2.3,19.7,6.4,3.7,3.6,3.9,10.1,0.179,0.0,.537,5,2011
Al Jefferson,UTA,82.0,82.0,35.9,0.496,0.0,0.496,0.496,0.761,9.7,1.8,0.6,1.9,18.6,20.1,0.528,23.2,16.3,9.2,0.8,4.2,24.2,5.1,2.7,0.6,1.9,7.8,0.128,0.0,.476,11,2011
Al Thornton,WAS,71.0,23.0,19.5,0.476,0.154,0.496,0.48,0.775,3.0,0.9,0.5,0.2,7.4,11.7,0.531,13.4,8.8,7.2,1.3,0.7,17.8,1.0,0.6,-3.3,-0.4,1.6,0.054,0.0,.280,13,2011
Al-Farouq Aminu,LAC,81.0,14.0,17.9,0.394,0.315,0.437,0.45,0.773,3.3,0.7,0.7,0.3,5.6,9.6,0.499,15.4,10.8,6.4,2.1,1.3,17.3,-0.8,1.4,-2.8,-0.3,0.7,0.022,0.0,.390,13,2011
Alexis Ajinça,TOR,34.0,2.0,10.0,0.444,0.353,0.475,0.489,0.722,2.3,0.3,0.3,0.6,4.2,12.2,0.507,21.5,13.6,4.8,1.7,4.2,21.1,0.0,0.4,-3.8,-0.2,0.4,0.052,0.0,.268,14,2011
