Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Green,MIL,56.0,0.0,11.0,0.423,0.408,0.519,0.599,0.895,1.1,0.5,0.2,0.1,4.5,10.5,0.617,9.6,5.7,6.4,0.7,0.6,15.2,0.7,0.3,-2.1,0.0,1.1,0.084,0.0,0.598,3,2024
A.J. Lawson,DAL,42.0,0.0,7.4,0.446,0.26,0.577,0.5,0.652,1.2,0.5,0.2,0.1,3.2,11.2,0.519,12.6,8.8,8.9,1.5,0.8,20.0,0.0,0.3,-4.6,-0.2,0.2,0.036,0.0,0.61,5,2024
AJ Griffin,ATL,20.0,0.0,8.6,0.29,0.256,0.348,0.371,1.0,0.9,0.2,0.0,0.1,2.4,1.2,0.382,10.6,5.7,3.7,0.3,1.1,17.3,-0.4,0.0,-9.6,-0.3,-0.4,-0.12,0.0,0.439,10,2024
Aaron Gordon,DEN,73.0,73.0,31.5,0.556,0.29,0.619,0.584,0.658,6.5,3.5,0.8,0.6,13.9,16.8,0.607,13.9,11.4,15.2,1.2,1.7,17.8,4.5,2.6,1.3,1.9,7.1,0.148,0.0,0.695,2,2024
Aaron Holiday,HOU,78.0,1.0,16.3,0.446,0.387,0.51,0.547,0.921,1.6,1.8,0.5,0.1,6.6,11.5,0.578,8.5,5.2,15.4,1.6,0.4,16.7,1.3,1.2,-1.5,0.2,2.5,0.094,0.0,0.5,11,2024
Aaron Nesmith,IND,72.0,47.0,27.7,0.496,0.419,0.581,0.606,0.781,3.8,1.5,0.9,0.7,12.2,12.8,0.631,12.0,7.8,6.6,1.5,2.0,16.0,2.8,1.3,-0.5,0.8,4.1,0.098,0.0,0.573,6,2024
Aaron Wiggins,OKC,78.0,4.0,15.7,0.562,0.492,0.598,0.645,0.789,2.4,1.1,0.7,0.2,6.9,15.6,0.664,11.0,8.4,9.3,2.2,1.4,16.4,2.1,1.6,0.7,0.8,3.7,0.144,0.0,0.695,1,2024
Adam Flagler,OKC,2.0,0.0,7.0,0.143,0.167,0.0,0.214,0.0,0.0,2.0,0.0,0.0,1.5,0.6,0.214,0.0,0.0,33.6,0.0,0.0,21.7,0.0,0.0,-10.6,0.0,0.0,-0.159,0.0,0.695,1,2024
Adama Sanogo,CHI,9.0,0.0,7.3,0.519,0.0,0.519,0.519,0.667,4.0,0.0,0.1,0.0,4.0,21.9,0.558,29.4,30.5,0.0,0.8,0.0,24.8,0.1,0.1,-6.7,-0.1,0.2,0.133,0.0,0.476,9,2024
Admiral Schofield,ORL,23.0,0.0,3.7,0.385,0.375,0.4,0.5,0.0,0.7,0.3,0.0,0.0,1.1,6.0,0.484,19.7,11.9,11.6,0.6,0.0,16.6,-0.1,0.1,-4.9,-0.1,0.0,0.006,0.0,0.573,5,2024
Al Horford,BOS,65.0,33.0,26.8,0.511,0.419,0.658,0.64,0.867,6.4,2.6,0.6,1.0,8.6,15.0,0.65,19.7,12.8,12.3,1.1,3.1,12.0,3.5,2.7,3.6,2.5,6.2,0.172,0.0,0.78,1,2024
Alec Burks,NYK,66.0,1.0,18.4,0.369,0.376,0.36,0.478,0.868,2.3,1.3,0.4,0.2,10.4,12.9,0.536,11.8,6.9,10.7,1.1,0.9,24.4,0.7,0.7,-2.3,-0.1,1.4,0.054,0.0,0.61,2,2024
Aleksej Pokusevski,OKC,28.0,0.0,14.5,0.405,0.327,0.47,0.479,0.732,3.2,1.2,0.5,0.5,5.2,12.7,0.525,20.4,12.3,12.0,1.8,3.0,17.2,0.0,0.4,-1.9,0.0,0.4,0.05,0.0,0.695,1,2024
Alex Caruso,CHI,71.0,57.0,28.7,0.468,0.408,0.563,0.593,0.76,3.8,3.5,1.7,1.0,10.1,14.5,0.613,11.8,7.5,16.4,2.9,3.5,14.7,2.3,2.6,2.5,2.3,4.9,0.115,0.0,0.476,9,2024
Alex Fudge,LAL,6.0,0.0,6.7,0.4,0.2,0.5,0.433,1.0,0.8,0.0,0.5,0.0,2.5,9.8,0.472,2.7,6.9,0.0,3.6,0.0,19.2,0.0,0.0,-5.2,0.0,0.0,-0.007,0.0,0.573,8,2024
Alex Len,SAC,48.0,0.0,9.2,0.617,0.0,0.641,0.617,0.588,2.7,1.0,0.2,0.7,2.5,14.7,0.625,21.2,16.1,14.4,1.2,6.8,11.8,0.6,0.7,0.2,0.2,1.3,0.138,0.0,0.561,9,2024
Alondes Williams,MIA,7.0,0.0,2.3,0.25,0.0,0.5,0.25,1.0,0.1,0.0,0.0,0.1,0.7,-7.9,0.296,7.1,3.5,0.0,0.0,6.1,29.1,-0.1,0.0,-23.2,-0.1,-0.1,-0.357,0.0,0.561,8,2024
Alperen Şengün,HOU,63.0,63.0,32.5,0.537,0.297,0.567,0.553,0.693,9.3,5.0,1.2,0.7,21.1,22.0,0.585,21.5,15.4,25.2,1.8,2.1,27.0,3.8,3.1,4.9,3.5,6.9,0.163,0.0,0.5,11,2024
Amari Bailey,CHO,10.0,0.0,6.5,0.333,0.125,0.438,0.354,0.857,0.9,0.7,0.3,0.0,2.3,9.7,0.425,5.3,7.8,15.2,2.3,0.0,21.1,-0.1,0.0,-8.3,-0.1,-0.1,-0.044,0.0,0.256,13,2024
Amen Thompson,HOU,62.0,23.0,22.4,0.536,0.138,0.595,0.545,0.684,6.6,2.6,1.3,0.6,9.5,18.2,0.576,20.4,15.8,17.0,2.7,2.5,18.5,1.9,2.4,1.8,1.3,4.3,0.149,0.0,0.5,11,2024
Amir Coffey,LAC,70.0,13.0,20.9,0.472,0.38,0.571,0.571,0.859,2.1,1.1,0.6,0.2,6.6,10.0,0.604,8.9,5.7,6.8,1.4,0.9,12.5,1.6,1.0,-2.2,-0.1,2.6,0.084,0.0,0.622,4,2024
Andre Drummond,CHI,79.0,10.0,17.1,0.556,0.0,0.56,0.556,0.592,9.0,0.5,0.9,0.6,8.4,23.0,0.576,37.4,29.3,4.1,2.7,3.6,21.3,2.3,2.6,0.1,0.7,4.9,0.175,0.0,0.476,9,2024
Andre Jackson Jr.,MIL,57.0,8.0,10.0,0.5,0.37,0.611,0.585,0.727,2.0,0.9,0.3,0.1,2.2,8.5,0.596,13.1,10.8,10.8,1.3,0.9,10.0,0.5,0.5,-3.6,-0.2,1.0,0.081,0.0,0.598,3,2024
Andrew Funk,CHI,5.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,-5.0,0.0,0.0,0.0,0.0,3.8,7.9,13.5,-0.1,0.0,-14.4,0.0,-0.1,-0.252,0.0,0.476,9,2024
Andrew Nembhard,IND,68.0,47.0,25.0,0.498,0.357,0.567,0.557,0.804,2.1,4.1,0.9,0.1,9.2,11.3,0.573,7.0,4.7,20.0,1.8,0.3,16.0,1.3,0.7,-2.2,-0.1,2.0,0.057,0.0,0.573,6,2024
Andrew Wiggins,GSW,71.0,59.0,27.0,0.453,0.358,0.498,0.511,0.751,4.5,1.7,0.6,0.6,13.2,12.7,0.544,11.8,9.0,8.6,1.1,1.9,20.9,1.2,1.6,-2.5,-0.3,2.8,0.07,0.0,0.561,10,2024
Anfernee Simons,POR,46.0,46.0,34.4,0.43,0.385,0.472,0.523,0.916,3.6,5.5,0.5,0.1,22.6,15.9,0.568,10.9,5.9,27.6,0.7,0.3,28.0,1.7,0.5,0.2,0.8,2.2,0.068,0.0,0.256,15,2024
Anthony Black,ORL,69.0,33.0,16.9,0.466,0.394,0.51,0.54,0.613,2.0,1.3,0.5,0.3,4.6,8.4,0.56,10.8,7.0,10.6,1.5,1.7,12.7,0.1,1.5,-3.0,-0.3,1.6,0.067,0.0,0.573,5,2024
