Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,IND,44.0,1.0,12.9,0.339,0.295,0.384,0.414,0.8,1.4,2.0,0.5,0.0,3.9,11.5,0.454,9.4,6.0,23.9,1.9,0.3,17.7,0.2,0.5,-1.0,0.1,0.7,0.063,0.0,.636,3,2012
Aaron Gray,TOR,49.0,40.0,16.6,0.516,0.0,0.516,0.516,0.532,5.7,0.6,0.4,0.3,3.9,11.1,0.526,28.3,20.3,5.5,1.5,1.7,13.5,0.1,1.3,-3.5,-0.3,1.4,0.082,0.0,.348,11,2012
Al Harrington,DEN,64.0,1.0,27.5,0.446,0.333,0.519,0.512,0.676,6.1,1.4,0.9,0.2,14.2,15.3,0.535,20.4,12.9,8.2,1.7,0.5,24.4,1.6,1.6,-0.4,0.7,3.2,0.088,0.0,.576,6,2012
Al Horford,ATL,11.0,11.0,31.6,0.553,0.0,0.559,0.553,0.733,7.0,2.2,0.9,1.3,12.4,19.0,0.585,17.1,13.0,11.7,1.5,3.1,17.9,0.8,0.6,3.4,0.5,1.3,0.18,0.0,.606,4,2012
Al Jefferson,UTA,61.0,61.0,34.0,0.492,0.25,0.493,0.493,0.774,9.6,2.2,0.8,1.7,19.2,22.8,0.52,25.3,16.2,12.1,1.2,3.9,25.7,4.9,2.5,3.7,3.0,7.5,0.173,0.0,.545,7,2012
Al-Farouq Aminu,NOH,66.0,21.0,22.4,0.411,0.277,0.431,0.429,0.754,4.7,1.0,0.9,0.5,6.0,10.6,0.481,16.9,12.4,7.2,2.2,1.9,16.2,-0.4,1.8,-2.2,-0.1,1.4,0.044,0.0,.318,15,2012
Alan Anderson,TOR,17.0,12.0,27.1,0.387,0.393,0.383,0.472,0.853,2.0,1.5,0.3,0.2,9.6,8.7,0.519,6.5,4.3,9.5,0.6,0.5,18.6,0.1,0.2,-3.0,-0.1,0.3,0.032,0.0,.348,11,2012
Alec Burks,UTA,59.0,0.0,15.9,0.429,0.333,0.442,0.45,0.727,2.2,0.9,0.5,0.1,7.2,14.0,0.506,9.3,8.1,9.5,1.5,0.4,22.5,1.1,0.4,-2.0,0.0,1.5,0.076,0.0,.545,7,2012
Alonzo Gee,CLE,63.0,31.0,29.0,0.412,0.321,0.442,0.452,0.788,5.1,1.8,1.3,0.3,10.6,13.2,0.516,14.3,10.0,10.6,2.4,0.7,18.7,1.2,1.2,-1.4,0.3,2.4,0.063,0.0,.318,13,2012
Amar'e Stoudemire,NYK,47.0,47.0,32.8,0.483,0.238,0.491,0.487,0.765,7.8,1.1,0.8,1.0,17.5,17.7,0.541,19.8,13.7,6.3,1.3,2.3,25.4,1.8,2.3,-0.3,0.7,4.1,0.128,0.0,.545,7,2012
Amir Johnson,TOR,64.0,43.0,24.3,0.576,0.4,0.579,0.579,0.69,6.4,1.2,0.5,1.1,7.1,14.4,0.6,19.4,15.4,8.7,1.1,3.6,14.3,1.9,2.0,-0.5,0.6,4.0,0.122,0.0,.348,11,2012
Anderson Varejão,CLE,25.0,25.0,31.4,0.514,0.0,0.523,0.514,0.672,11.5,1.7,1.4,0.7,10.8,18.9,0.542,26.8,20.8,9.7,2.3,1.6,16.9,1.2,0.9,1.1,0.6,2.1,0.131,0.0,.318,13,2012
Andray Blatche,WAS,26.0,13.0,24.1,0.38,0.286,0.382,0.384,0.673,5.8,1.1,0.8,0.7,8.5,10.6,0.415,19.6,13.5,7.3,1.7,2.1,21.7,-0.8,0.6,-4.8,-0.4,-0.1,-0.011,0.0,.303,14,2012
Andre Emmett,NJN,6.0,0.0,7.5,0.571,0.0,0.667,0.571,0.625,1.0,0.2,0.3,0.2,2.2,13.3,0.618,10.6,7.7,3.6,2.4,1.7,12.7,0.1,0.0,-1.5,0.0,0.1,0.089,0.0,.333,12,2012
