Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Brooks,HOU,51.0,0.0,11.9,0.413,0.33,0.491,0.493,0.857,1.1,1.7,0.3,0.1,5.2,13.1,0.535,7.9,5.2,23.5,1.1,0.6,21.8,0.6,0.8,-0.2,0.3,1.4,0.112,0.0,.671,5,2008
Aaron Gray,CHI,61.0,1.0,10.0,0.505,0.0,0.507,0.505,0.566,2.8,0.7,0.3,0.3,4.3,13.9,0.529,18.7,15.5,11.4,1.8,2.0,22.0,0.1,0.8,-3.5,-0.2,0.8,0.066,0.0,.402,11,2008
Aaron Williams,LAC,30.0,5.0,9.9,0.491,0.0,0.491,0.491,0.778,2.0,0.3,0.4,0.5,2.3,10.3,0.54,18.0,11.9,4.9,2.1,3.8,11.8,0.0,0.4,-2.5,0.0,0.4,0.072,0.0,.280,12,2008
Acie Law,ATL,56.0,6.0,15.4,0.401,0.206,0.433,0.416,0.792,1.0,2.0,0.5,0.0,4.2,7.7,0.455,6.0,3.8,20.4,1.8,0.0,16.5,-0.5,0.4,-5.2,-0.7,-0.1,-0.007,0.0,.451,8,2008
Adonal Foyle,ORL,82.0,0.0,9.4,0.458,0.0,0.458,0.458,0.471,2.5,0.2,0.2,0.5,1.9,9.9,0.464,19.6,15.5,3.4,1.1,4.2,11.8,0.0,1.3,-1.9,0.0,1.3,0.08,0.0,.634,3,2008
Adrian Griffin,OKC,35.0,2.0,8.8,0.395,0.0,0.395,0.395,0.556,1.7,0.8,0.5,0.1,1.9,8.7,0.406,11.4,10.7,13.4,2.8,0.5,14.5,-0.3,0.3,-3.0,-0.1,0.0,0.001,0.0,.244,15,2008
Al Harrington,GSW,81.0,59.0,27.0,0.434,0.375,0.482,0.517,0.774,5.4,1.6,0.9,0.2,13.6,15.6,0.547,16.9,10.7,8.9,1.6,0.5,21.1,3.7,1.7,0.2,1.2,5.4,0.118,0.0,.585,9,2008
Al Horford,ATL,81.0,77.0,31.4,0.499,0.0,0.502,0.499,0.731,9.7,1.5,0.7,0.9,10.1,14.7,0.539,24.5,18.0,7.9,1.2,2.2,16.0,2.4,3.0,-1.6,0.3,5.5,0.103,0.0,.451,8,2008
Al Jefferson,MIN,82.0,82.0,35.6,0.5,0.0,0.502,0.5,0.721,11.1,1.4,0.9,1.5,21.0,22.7,0.535,24.7,18.1,7.5,1.3,3.2,27.5,4.8,2.9,1.6,2.6,7.7,0.127,0.0,.268,13,2008
Al Thornton,LAC,79.0,31.0,27.3,0.429,0.331,0.447,0.454,0.743,4.5,1.2,0.6,0.5,12.7,12.7,0.504,14.0,9.6,8.4,1.1,1.5,24.1,-0.5,1.6,-3.4,-0.8,1.1,0.025,0.0,.280,12,2008
