Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Guyton,GSW,2.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,-9.0,0.0,0.0,0.0,28.7,5.7,0.0,23.6,-0.1,0.0,-16.4,0.0,-0.1,-0.45,0.0,.463,11,2003
Aaron McKie,PHI,80.0,40.0,29.7,0.429,0.33,0.449,0.457,0.836,4.4,3.5,1.6,0.1,9.0,13.7,0.497,14.5,8.7,18.6,2.9,0.3,15.8,2.1,3.0,1.1,1.9,5.1,0.104,0.0,.585,3,2003
Aaron Williams,BRK,81.0,0.0,19.7,0.453,0.0,0.454,0.453,0.785,4.1,1.1,0.3,0.7,6.2,11.9,0.504,13.9,11.8,9.0,0.9,2.7,16.4,1.2,2.4,-1.6,0.2,3.7,0.11,0.0,.598,2,2003
Adam Harrington,DEN,19.0,0.0,5.8,0.297,0.357,0.261,0.365,0.75,0.4,0.6,0.1,0.1,1.6,7.4,0.387,7.5,4.1,18.0,0.9,0.7,16.5,0.0,0.1,-5.2,-0.1,0.0,0.017,0.0,.207,14,2003
Adonal Foyle,GSW,82.0,0.0,21.8,0.536,0.0,0.538,0.536,0.673,6.0,0.5,0.5,2.5,5.4,15.3,0.563,18.5,14.6,3.1,1.1,7.6,11.0,2.3,1.7,0.9,1.3,4.0,0.106,0.0,.463,11,2003
Adrian Griffin,DAL,74.0,48.0,18.6,0.433,0.25,0.447,0.442,0.844,3.6,1.4,1.0,0.1,4.4,11.5,0.463,14.1,10.6,11.0,2.9,0.3,13.2,0.9,1.9,-0.3,0.6,2.9,0.1,0.0,.732,2,2003
Al Harrington,IND,82.0,37.0,30.1,0.434,0.283,0.442,0.441,0.77,6.2,1.5,0.9,0.4,12.2,12.4,0.493,15.7,11.6,8.8,1.5,1.0,21.6,0.7,3.2,-2.8,-0.5,3.9,0.075,0.0,.585,4,2003
Alan Henderson,ATL,82.0,3.0,18.2,0.468,0.0,0.471,0.468,0.638,4.9,0.5,0.4,0.4,4.8,12.1,0.508,17.8,15.2,4.5,1.2,1.5,13.8,1.5,1.1,-2.9,-0.3,2.6,0.083,0.0,.427,11,2003
Allan Houston,NYK,82.0,82.0,37.9,0.445,0.396,0.467,0.506,0.919,2.8,2.7,0.7,0.1,22.5,17.7,0.563,7.9,4.4,13.2,0.9,0.2,27.0,6.6,0.6,1.0,2.4,7.2,0.111,0.0,.451,10,2003
Allen Iverson,PHI,82.0,82.0,42.5,0.414,0.277,0.44,0.436,0.774,4.2,5.5,2.7,0.2,27.6,21.2,0.5,9.5,5.8,25.1,3.4,0.3,32.9,5.0,4.2,3.5,4.8,9.2,0.127,0.07,.585,3,2003
