Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Green,MIL,35.0,1.0,9.9,0.424,0.419,0.45,0.6,1.0,1.3,0.6,0.2,0.0,4.4,11.5,0.607,11.3,6.8,8.7,0.8,0.0,16.6,0.5,0.3,-0.9,0.1,0.8,0.111,0.0,0.707,1,2023
A.J. Lawson,MIN,15.0,0.0,7.2,0.5,0.4,0.632,0.614,0.25,1.4,0.1,0.1,0.0,3.7,13.9,0.589,16.3,11.3,3.0,0.9,0.0,21.1,0.1,0.1,-4.4,-0.1,0.1,0.063,0.0,0.512,8,2023
AJ Griffin,ATL,72.0,12.0,19.5,0.465,0.39,0.536,0.56,0.894,2.1,1.0,0.6,0.2,8.9,12.6,0.577,9.2,6.0,7.0,1.4,0.7,17.9,1.3,0.9,-0.8,0.4,2.2,0.075,0.0,0.5,8,2023
Aaron Gordon,DEN,68.0,68.0,30.2,0.564,0.347,0.628,0.603,0.608,6.6,3.0,0.8,0.8,16.3,19.5,0.617,15.4,12.5,14.2,1.3,2.2,21.1,4.6,2.2,2.1,2.1,6.8,0.158,0.0,0.646,1,2023
Aaron Holiday,ATL,63.0,6.0,13.4,0.418,0.409,0.424,0.5,0.844,1.2,1.4,0.6,0.2,3.9,9.4,0.528,6.4,4.8,13.0,2.1,1.2,13.4,0.3,0.6,-2.0,0.0,0.9,0.053,0.0,0.5,8,2023
Aaron Nesmith,IND,73.0,60.0,24.9,0.427,0.366,0.496,0.525,0.838,3.8,1.3,0.8,0.5,10.1,10.5,0.566,13.1,8.5,7.4,1.4,1.6,16.8,0.9,1.1,-3.0,-0.4,2.0,0.052,0.0,0.427,11,2023
Aaron Wiggins,OKC,70.0,14.0,18.5,0.512,0.393,0.573,0.579,0.831,3.0,1.1,0.6,0.2,6.8,12.2,0.607,12.0,8.7,8.3,1.4,1.1,14.5,1.4,1.2,-2.1,0.0,2.6,0.097,0.0,0.488,10,2023
Admiral Schofield,ORL,37.0,0.0,12.2,0.451,0.324,0.646,0.549,0.913,1.7,0.8,0.2,0.1,4.2,10.1,0.587,9.8,7.8,9.6,0.9,1.1,14.1,0.5,0.3,-2.9,-0.1,0.8,0.089,0.0,0.415,13,2023
Al Horford,BOS,63.0,63.0,30.5,0.476,0.446,0.539,0.627,0.714,6.2,3.0,0.5,1.0,9.8,13.8,0.631,17.7,11.1,13.2,0.8,2.7,11.9,3.6,2.7,3.3,2.5,6.3,0.157,0.0,0.695,2,2023
Alec Burks,DET,51.0,8.0,22.0,0.436,0.414,0.459,0.544,0.814,3.1,2.2,0.7,0.2,12.8,16.5,0.602,14.2,7.8,15.9,1.6,0.6,22.8,1.9,0.6,1.2,0.9,2.5,0.109,0.0,0.207,15,2023
Aleksej Pokusevski,OKC,34.0,25.0,20.6,0.434,0.365,0.483,0.51,0.629,4.7,1.9,0.6,1.3,8.1,13.4,0.522,17.8,12.2,12.4,1.4,5.7,18.3,0.0,1.0,0.0,0.3,1.0,0.066,0.0,0.488,10,2023
Alex Caruso,CHI,67.0,36.0,23.5,0.455,0.364,0.556,0.551,0.808,2.9,2.9,1.5,0.7,5.6,11.5,0.588,10.9,7.1,15.4,3.0,2.8,11.1,1.0,2.6,1.1,1.2,3.6,0.109,0.0,0.488,10,2023
Alex Len,SAC,26.0,2.0,6.2,0.533,0.0,0.571,0.533,0.688,2.3,0.5,0.2,0.4,1.7,12.8,0.58,25.4,21.3,9.3,1.2,6.0,14.1,0.1,0.2,-4.0,-0.1,0.3,0.085,0.0,0.585,3,2023
Alize Johnson,SAS,4.0,0.0,7.5,0.5,0.0,0.75,0.5,0.5,2.5,0.2,0.2,0.0,1.8,4.3,0.509,30.3,18.2,4.2,1.6,0.0,15.0,-0.1,0.0,-9.1,-0.1,-0.1,-0.099,0.0,0.268,15,2023
Alondes Williams,BRK,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-20.9,0.0,22.0,11.2,0.0,0.0,0.0,17.7,-0.1,0.0,-26.5,0.0,-0.1,-0.517,0.0,0.549,6,2023
Alperen Şengün,HOU,75.0,72.0,28.9,0.553,0.333,0.57,0.565,0.715,9.0,3.9,0.9,0.9,14.8,19.7,0.599,22.3,17.1,21.0,1.6,3.2,21.4,3.4,1.8,1.4,1.9,5.2,0.115,0.0,0.268,14,2023
Amir Coffey,LAC,50.0,9.0,12.5,0.386,0.275,0.429,0.424,0.778,1.1,1.1,0.1,0.1,3.4,7.0,0.498,6.4,4.7,11.2,0.5,0.7,13.5,0.1,0.3,-5.0,-0.5,0.4,0.033,0.0,0.537,5,2023
Andre Drummond,CHI,67.0,0.0,12.7,0.606,0.0,0.613,0.606,0.536,6.6,0.5,0.7,0.4,6.0,20.8,0.606,40.2,29.6,5.7,2.6,3.1,21.0,0.8,2.0,-0.8,0.3,2.8,0.159,0.0,0.488,10,2023
Andre Iguodala,GSW,8.0,0.0,14.1,0.467,0.111,1.0,0.5,0.667,2.1,2.4,0.5,0.4,2.1,7.3,0.521,13.4,8.3,20.3,1.7,2.3,9.4,0.0,0.1,-2.5,0.0,0.1,0.044,0.0,0.537,6,2023
Andrew Nembhard,IND,75.0,63.0,27.6,0.441,0.35,0.504,0.512,0.79,2.7,4.5,0.9,0.2,9.5,10.0,0.528,8.8,5.3,22.4,1.6,0.5,16.1,0.4,0.8,-3.2,-0.6,1.2,0.029,0.0,0.427,11,2023
Andrew Wiggins,GSW,37.0,37.0,32.2,0.473,0.396,0.53,0.557,0.611,5.0,2.3,1.2,0.8,17.1,14.7,0.564,11.3,8.6,10.5,1.8,2.1,21.5,1.0,1.3,-0.5,0.5,2.3,0.091,0.0,0.537,6,2023
Anfernee Simons,POR,62.0,62.0,35.0,0.447,0.377,0.528,0.548,0.894,2.6,4.1,0.7,0.2,21.1,14.8,0.581,7.6,4.3,18.6,0.9,0.6,25.1,2.1,0.3,-1.1,0.5,2.5,0.054,0.0,0.402,13,2023
Anthony Davis,LAL,56.0,54.0,34.0,0.563,0.257,0.589,0.573,0.784,12.5,2.6,1.1,2.0,25.9,27.8,0.627,27.6,19.7,13.0,1.5,5.1,28.4,5.5,3.4,6.3,4.0,9.0,0.226,0.0,0.524,7,2023
Anthony Edwards,MIN,79.0,79.0,36.0,0.459,0.369,0.513,0.528,0.756,5.8,4.4,1.6,0.7,24.6,17.4,0.564,15.9,9.0,19.3,2.1,1.8,29.9,0.2,3.6,1.0,2.1,3.8,0.064,0.0,0.512,8,2023
Anthony Gill,WAS,59.0,8.0,10.6,0.538,0.138,0.65,0.553,0.731,1.7,0.6,0.1,0.2,3.3,11.1,0.604,10.6,8.8,7.2,0.5,1.6,12.3,1.0,0.4,-3.3,-0.2,1.3,0.101,0.0,0.427,12,2023
Anthony Lamb,GSW,62.0,4.0,19.3,0.471,0.367,0.652,0.588,0.767,3.5,1.5,0.5,0.3,6.7,10.9,0.61,14.4,9.9,10.5,1.1,1.5,13.8,1.2,1.2,-1.1,0.3,2.4,0.096,0.0,0.537,6,2023
Austin Reaves,LAL,64.0,22.0,28.8,0.529,0.398,0.631,0.616,0.864,3.0,3.4,0.5,0.3,13.0,14.9,0.687,9.0,5.6,15.7,0.8,0.9,16.2,4.1,1.4,0.7,1.2,5.4,0.142,0.0,0.524,7,2023
Austin Rivers,MIN,52.0,10.0,19.5,0.435,0.35,0.558,0.538,0.769,1.6,1.4,0.5,0.1,4.9,7.4,0.564,8.4,4.6,9.3,1.3,0.3,10.5,0.5,0.8,-2.8,-0.2,1.3,0.061,0.0,0.512,8,2023
Ayo Dosunmu,CHI,80.0,51.0,26.2,0.493,0.312,0.583,0.545,0.805,2.8,2.6,0.8,0.3,8.6,10.2,0.567,9.3,5.9,13.2,1.4,1.2,14.9,0.7,2.2,-2.5,-0.2,2.9,0.067,0.0,0.488,10,2023
Bam Adebayo,MIA,75.0,75.0,34.6,0.54,0.083,0.545,0.541,0.806,9.2,3.2,1.2,0.8,20.4,20.1,0.592,23.6,15.5,15.9,1.7,2.4,25.2,3.6,3.8,1.5,2.3,7.4,0.137,0.0,0.537,7,2023
Ben Simmons,BRK,42.0,33.0,26.3,0.566,0.0,0.571,0.566,0.439,6.3,6.1,1.3,0.6,6.9,13.4,0.559,22.2,13.4,31.3,2.4,1.9,14.3,0.5,1.7,0.4,0.7,2.2,0.097,0.0,0.549,6,2023
Bennedict Mathurin,IND,78.0,17.0,28.5,0.434,0.323,0.488,0.487,0.828,4.1,1.5,0.6,0.2,16.7,13.1,0.566,11.5,7.9,7.6,1.0,0.5,24.6,1.0,0.8,-3.7,-1.0,1.8,0.038,0.0,0.427,11,2023
Bismack Biyombo,PHO,61.0,14.0,14.3,0.578,0.0,0.578,0.578,0.357,4.3,0.9,0.3,1.4,4.3,14.4,0.555,22.1,16.5,8.7,1.0,9.0,14.0,0.2,1.6,-0.9,0.2,1.9,0.102,0.0,0.549,4,2023
Blake Griffin,BOS,41.0,16.0,13.9,0.485,0.348,0.625,0.573,0.656,3.8,1.5,0.3,0.2,4.1,13.1,0.59,20.4,14.9,14.2,1.2,1.4,12.7,1.0,0.8,0.1,0.3,1.8,0.153,0.0,0.695,2,2023
Blake Wesley,SAS,37.0,1.0,18.1,0.321,0.385,0.301,0.367,0.591,2.2,2.6,0.7,0.1,5.0,3.5,0.393,11.9,6.6,18.8,1.8,0.6,18.5,-1.9,0.3,-9.6,-1.3,-1.6,-0.114,0.0,0.268,15,2023
Boban Marjanović,HOU,31.0,0.0,5.5,0.683,0.0,0.695,0.683,0.741,1.9,0.3,0.2,0.1,3.3,23.4,0.71,26.0,19.3,8.7,1.4,1.1,20.8,0.4,0.1,1.6,0.2,0.6,0.158,0.0,0.268,14,2023
Bobby Portis,MIL,70.0,22.0,26.0,0.496,0.37,0.555,0.555,0.768,9.6,1.5,0.4,0.2,14.1,17.8,0.575,28.6,19.3,8.7,0.8,0.7,21.7,2.5,2.8,0.7,1.2,5.3,0.139,0.0,0.707,1,2023
Bogdan Bogdanović,ATL,54.0,9.0,27.9,0.447,0.406,0.506,0.566,0.831,3.1,2.8,0.8,0.3,14.0,14.2,0.586,10.4,6.0,13.4,1.4,1.0,19.8,1.8,1.0,0.5,0.9,2.8,0.088,0.0,0.5,8,2023
Bojan Bogdanović,DET,59.0,59.0,32.1,0.488,0.411,0.539,0.57,0.884,3.8,2.6,0.6,0.1,21.6,17.4,0.627,11.3,6.5,13.6,0.9,0.4,25.9,3.1,0.4,0.8,1.4,3.5,0.09,0.0,0.207,15,2023
Bol Bol,ORL,70.0,33.0,21.5,0.546,0.265,0.633,0.577,0.759,5.8,1.0,0.4,1.2,9.1,14.4,0.603,25.3,15.2,6.9,1.0,5.5,18.2,0.0,2.2,-0.9,0.4,2.3,0.072,0.0,0.415,13,2023
Bones Hyland,LAC,56.0,1.0,19.4,0.399,0.371,0.434,0.502,0.843,2.4,3.1,0.7,0.3,11.8,14.9,0.535,11.8,7.1,23.4,1.8,1.2,28.0,0.3,1.1,-0.8,0.3,1.4,0.062,0.0,0.537,5,2023
