Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,IND,56.0,2.0,15.4,0.41,0.345,0.472,0.494,0.8,1.6,1.9,0.6,0.1,7.3,14.0,0.53,9.7,5.6,20.5,2.0,0.2,22.7,0.4,0.8,-0.5,0.3,1.2,0.065,0.0,.390,10,2010
Aaron Brooks,HOU,82.0,82.0,35.6,0.432,0.398,0.454,0.511,0.822,2.6,5.3,0.8,0.2,19.6,16.0,0.549,6.6,4.2,25.6,1.2,0.3,25.7,3.9,1.6,0.7,1.9,5.5,0.091,0.0,.512,9,2010
Aaron Gray,NOH,32.0,0.0,9.7,0.512,0.0,0.512,0.512,0.714,3.3,0.7,0.3,0.3,3.2,16.6,0.551,23.1,19.8,10.6,1.5,2.7,16.4,0.5,0.4,-1.3,0.1,0.9,0.142,0.0,.451,11,2010
Acie Law,GSW,26.0,1.0,9.0,0.467,0.313,0.508,0.5,0.776,0.7,1.0,0.4,0.0,4.3,16.0,0.585,6.6,4.1,17.5,2.3,0.4,21.7,0.3,0.2,-1.0,0.1,0.6,0.115,0.0,.317,13,2010
Adam Morrison,LAL,31.0,0.0,7.8,0.376,0.238,0.422,0.406,0.625,1.0,0.6,0.1,0.1,2.4,7.4,0.418,10.1,7.4,11.3,0.6,0.6,18.3,-0.2,0.2,-4.7,-0.2,0.0,0.009,0.0,.695,1,2010
Al Harrington,NYK,72.0,15.0,30.5,0.435,0.342,0.496,0.503,0.757,5.6,1.5,0.9,0.4,17.7,16.8,0.546,16.7,10.5,8.6,1.4,0.9,26.8,2.2,1.3,-0.8,0.6,3.5,0.077,0.0,.354,11,2010
Al Horford,ATL,81.0,81.0,35.1,0.551,1.0,0.551,0.552,0.789,9.9,2.3,0.7,1.1,14.2,19.4,0.594,23.3,16.4,10.4,1.1,2.4,17.6,6.9,3.9,2.3,3.1,10.9,0.183,0.0,.646,3,2010
Al Jefferson,MIN,76.0,76.0,32.4,0.498,0.0,0.5,0.498,0.68,9.2,1.8,0.8,1.3,17.1,19.0,0.524,24.2,16.0,10.0,1.3,3.0,24.3,2.3,2.3,0.4,1.5,4.6,0.09,0.0,.183,15,2010
Al Thornton,WAS,75.0,46.0,27.7,0.473,0.355,0.479,0.482,0.725,3.9,1.2,0.6,0.5,10.7,11.8,0.523,10.0,8.2,7.1,1.1,1.3,19.0,1.2,1.0,-3.1,-0.6,2.2,0.05,0.0,.317,14,2010
Alando Tucker,PHO,15.0,0.0,6.4,0.436,0.143,0.5,0.449,0.762,0.7,0.3,0.0,0.0,3.4,13.4,0.529,4.6,5.9,6.4,0.0,0.0,24.4,0.1,0.0,-4.0,0.0,0.1,0.061,0.0,.659,3,2010
Alexis Ajinça,CHA,6.0,0.0,5.0,0.5,0.0,0.5,0.5,0.0,0.7,0.0,0.2,0.2,1.7,6.3,0.479,11.8,8.0,0.0,1.8,2.7,19.3,-0.1,0.0,-5.3,0.0,0.0,-0.013,0.0,.537,7,2010
Allen Iverson,PHI,28.0,24.0,30.9,0.43,0.36,0.436,0.445,0.794,2.8,4.0,0.7,0.1,13.8,13.4,0.515,8.7,5.4,21.0,1.2,0.2,23.0,0.5,0.2,-3.0,-0.2,0.7,0.037,0.0,.329,12,2010
Alonzo Gee,WAS,11.0,2.0,16.5,0.475,0.778,0.42,0.534,0.621,3.0,0.6,0.6,0.1,7.4,16.2,0.564,11.6,10.4,6.4,2.0,0.4,20.4,0.3,0.1,1.6,0.2,0.4,0.108,0.0,.317,14,2010
Amar'e Stoudemire,PHO,82.0,82.0,34.6,0.557,0.167,0.559,0.557,0.771,8.9,1.0,0.6,1.0,23.1,22.6,0.615,18.9,14.5,4.8,0.9,2.1,27.3,8.2,2.5,1.0,2.2,10.7,0.181,0.004,.659,3,2010
Amir Johnson,TOR,82.0,5.0,17.7,0.623,0.0,0.63,0.623,0.638,4.8,0.6,0.5,0.8,6.2,16.7,0.639,19.1,16.1,5.0,1.6,3.5,14.5,3.4,1.1,-0.6,0.5,4.5,0.15,0.0,.488,9,2010
Anderson Varejão,CLE,76.0,7.0,28.5,0.572,0.2,0.576,0.573,0.663,7.6,1.1,0.9,0.9,8.6,15.8,0.598,20.4,15.9,6.1,1.7,2.4,13.1,4.3,3.8,1.3,1.8,8.1,0.179,0.0,.744,1,2010
Andray Blatche,WAS,81.0,36.0,27.9,0.478,0.295,0.487,0.485,0.744,6.3,2.1,1.0,0.9,14.1,17.6,0.519,18.2,13.0,13.8,2.0,2.4,25.8,0.8,2.6,0.6,1.5,3.4,0.073,0.0,.317,14,2010
Andre Iguodala,PHI,82.0,82.0,38.9,0.443,0.31,0.492,0.485,0.733,6.5,5.8,1.7,0.7,17.1,17.8,0.535,16.8,9.8,23.7,2.3,1.4,21.8,4.0,2.8,2.4,3.5,6.7,0.101,0.0,.329,12,2010
Andre Miller,POR,82.0,66.0,30.5,0.445,0.2,0.469,0.454,0.821,3.2,5.4,1.1,0.1,14.0,18.1,0.53,9.2,6.6,30.3,2.0,0.3,23.8,4.6,2.4,1.8,2.4,7.0,0.134,0.0,.610,6,2010
Andrea Bargnani,TOR,80.0,80.0,35.0,0.47,0.372,0.509,0.523,0.774,6.2,1.2,0.3,1.4,17.2,15.5,0.552,15.9,10.4,5.4,0.5,3.0,22.3,3.3,0.9,-0.8,0.9,4.2,0.072,0.0,.488,9,2010
Andrei Kirilenko,UTA,58.0,35.0,29.0,0.506,0.292,0.555,0.533,0.744,4.6,2.7,1.4,1.2,11.9,18.2,0.588,12.9,9.3,14.0,2.5,3.4,17.7,3.3,2.7,5.1,3.0,6.0,0.171,0.0,.646,5,2010
Andrew Bogut,MIL,69.0,69.0,32.3,0.52,0.0,0.521,0.52,0.629,10.2,1.8,0.6,2.5,15.9,20.7,0.54,26.4,17.9,10.3,0.9,6.2,23.3,2.6,4.8,3.1,2.8,7.5,0.161,0.0,.561,6,2010
Andrew Bynum,LAL,65.0,65.0,30.4,0.57,0.0,0.571,0.57,0.739,8.3,1.0,0.5,1.4,15.0,20.2,0.608,20.4,15.3,5.8,0.9,3.6,20.8,4.4,3.4,1.5,1.8,7.8,0.188,0.0,.695,1,2010
Andris Biedriņš,GSW,33.0,29.0,23.1,0.591,0.0,0.591,0.591,0.16,7.8,1.7,0.6,1.3,5.0,13.0,0.561,29.0,18.9,10.1,1.3,4.1,10.1,0.7,0.9,-0.2,0.4,1.6,0.101,0.0,.317,13,2010
Andrés Nocioni,SAC,75.0,28.0,19.7,0.399,0.386,0.408,0.48,0.717,3.0,1.0,0.4,0.3,8.5,11.1,0.504,14.9,8.6,8.0,1.1,1.3,20.9,0.4,1.0,-2.4,-0.1,1.3,0.044,0.0,.305,14,2010
Antawn Jamison,WAS,66.0,64.0,36.5,0.461,0.344,0.498,0.502,0.647,8.4,1.3,1.1,0.3,18.7,17.3,0.529,20.1,13.4,6.1,1.5,0.7,23.9,3.0,2.8,0.2,1.3,5.8,0.115,0.0,.317,14,2010
Anthony Carter,DEN,54.0,7.0,15.9,0.42,0.27,0.5,0.467,0.846,1.6,3.0,0.7,0.2,3.3,10.3,0.482,9.6,6.0,26.6,2.3,1.1,12.6,0.1,0.8,-0.8,0.3,0.9,0.051,0.0,.646,4,2010
Anthony Johnson,ORL,31.0,0.0,13.1,0.441,0.333,0.5,0.5,0.95,1.5,2.0,0.4,0.0,4.2,12.4,0.543,11.0,6.8,24.2,1.4,0.2,16.7,0.5,0.5,0.0,0.2,1.0,0.116,0.0,.720,2,2010
Anthony Morrow,GSW,69.0,37.0,29.2,0.468,0.456,0.477,0.568,0.886,3.8,1.5,0.9,0.2,13.0,14.0,0.597,11.1,7.1,7.6,1.5,0.6,17.8,3.0,0.6,-0.4,0.8,3.5,0.084,0.0,.317,13,2010
Anthony Parker,CLE,81.0,81.0,28.3,0.434,0.414,0.458,0.547,0.789,2.9,1.9,0.8,0.2,7.3,9.9,0.576,10.0,6.0,9.9,1.4,0.6,12.0,2.3,2.6,-0.3,1.0,4.9,0.103,0.0,.744,1,2010
Anthony Randolph,GSW,33.0,8.0,22.7,0.443,0.2,0.447,0.445,0.801,6.5,1.3,0.8,1.5,11.6,18.7,0.521,21.4,16.0,8.5,1.8,4.9,23.9,0.7,0.8,-0.6,0.3,1.5,0.098,0.0,.317,13,2010
Anthony Tolliver,POR,46.0,29.0,31.0,0.43,0.329,0.481,0.486,0.769,7.0,1.9,0.7,0.7,11.7,13.6,0.531,18.7,12.5,8.6,1.1,1.7,16.6,1.7,0.8,-1.6,0.1,2.5,0.084,0.0,.610,6,2010
Antoine Wright,TOR,67.0,10.0,20.8,0.406,0.335,0.46,0.479,0.688,2.8,1.1,0.4,0.2,6.5,8.6,0.502,12.6,8.1,7.4,1.1,0.6,16.1,0.1,0.2,-3.3,-0.4,0.3,0.011,0.0,.488,9,2010
Antonio Anderson,OKC,1.0,0.0,15.0,0.333,0.0,0.333,0.333,0.0,1.0,0.0,0.0,0.0,2.0,-1.7,0.333,0.0,3.8,0.0,0.0,0.0,12.0,0.0,0.0,-12.4,0.0,0.0,-0.104,0.0,.610,7,2010
Antonio McDyess,SAS,77.0,50.0,21.0,0.479,0.0,0.481,0.479,0.632,5.9,1.1,0.6,0.4,5.8,12.2,0.492,21.8,16.5,7.7,1.4,1.4,15.1,0.6,2.6,-1.0,0.4,3.2,0.094,0.0,.610,8,2010
