Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Gordon,DEN,75.0,75.0,31.7,0.52,0.335,0.605,0.573,0.743,5.9,2.5,0.6,0.6,15.0,15.3,0.602,14.3,10.3,11.6,0.9,1.7,19.7,3.2,2.0,-0.6,0.9,5.2,0.105,0.0,0.585,6,2022
Aaron Henry,PHI,6.0,0.0,2.8,0.2,0.0,0.25,0.2,0.0,0.2,0.0,0.0,0.3,0.3,-7.4,0.2,6.5,3.3,0.0,0.0,10.6,18.5,-0.1,0.0,-16.5,-0.1,-0.1,-0.306,0.0,0.622,4,2022
Aaron Holiday,WAS,63.0,15.0,16.2,0.447,0.379,0.477,0.504,0.868,1.9,2.4,0.7,0.1,6.3,12.6,0.544,10.3,6.5,20.7,2.0,0.7,18.7,0.5,0.9,-1.7,0.1,1.5,0.068,0.0,0.427,12,2022
Aaron Nesmith,BOS,52.0,3.0,11.0,0.396,0.27,0.612,0.481,0.808,1.7,0.4,0.4,0.1,3.8,7.3,0.507,13.6,8.4,5.4,1.7,0.8,17.2,-0.4,0.9,-4.3,-0.3,0.4,0.038,0.0,0.622,2,2022
Aaron Wiggins,OKC,50.0,35.0,24.2,0.463,0.304,0.573,0.525,0.729,3.6,1.4,0.6,0.2,8.3,10.3,0.556,11.0,7.6,8.5,1.2,0.8,15.3,0.5,0.8,-4.3,-0.7,1.2,0.048,0.0,0.293,14,2022
Abdel Nader,PHO,14.0,0.0,10.4,0.343,0.286,0.381,0.4,0.6,1.9,0.5,0.6,0.3,2.4,4.9,0.431,16.6,10.0,5.9,2.7,2.5,15.0,-0.3,0.3,-4.9,-0.1,0.0,-0.009,0.0,0.78,1,2022
Ade Murkey,SAC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.7,0.0,0.0,-0.017,0.0,0.366,12,2022
Admiral Schofield,ORL,38.0,1.0,12.3,0.419,0.329,0.56,0.519,0.8,2.3,0.7,0.1,0.1,3.8,7.5,0.538,16.3,10.0,7.9,0.4,1.0,14.5,-0.1,0.3,-5.4,-0.4,0.3,0.027,0.0,0.268,15,2022
Ahmad Caver,IND,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,76.2,1.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,36.9,0.0,0.0,1.204,0.0,0.305,13,2022
Al Horford,BOS,69.0,69.0,29.1,0.467,0.336,0.582,0.546,0.842,7.7,3.4,0.7,1.3,10.2,16.7,0.574,22.2,14.3,16.4,1.2,4.2,14.8,3.7,3.8,4.3,3.2,7.6,0.181,0.0,0.622,2,2022
Alec Burks,NYK,81.0,44.0,28.6,0.391,0.404,0.378,0.499,0.822,4.9,3.0,1.0,0.3,11.7,13.7,0.559,16.6,9.2,15.7,1.8,1.1,17.7,3.2,2.9,0.8,1.7,6.1,0.126,0.0,0.451,11,2022
Aleem Ford,ORL,5.0,0.0,14.8,0.3,0.133,0.8,0.35,0.0,3.0,0.4,0.2,0.0,2.8,0.5,0.35,18.6,10.7,3.8,0.7,0.0,14.0,-0.2,0.1,-11.4,-0.2,-0.2,-0.103,0.0,0.268,15,2022
Aleksej Pokusevski,OKC,61.0,12.0,20.2,0.408,0.289,0.498,0.47,0.7,5.2,2.1,0.6,0.6,7.6,12.0,0.485,20.8,13.3,16.5,1.5,2.9,20.0,-1.1,1.5,-2.6,-0.2,0.4,0.014,0.0,0.293,14,2022
Alex Caruso,CHI,41.0,18.0,28.0,0.398,0.333,0.462,0.48,0.795,3.6,4.0,1.7,0.4,7.4,11.7,0.528,11.2,7.3,18.5,3.0,1.1,13.3,0.7,1.2,0.2,0.6,2.0,0.082,0.0,0.561,6,2022
Alex Len,SAC,39.0,10.0,15.9,0.534,0.286,0.568,0.551,0.651,4.1,1.2,0.3,0.6,6.0,13.1,0.577,19.3,14.1,10.6,1.0,3.5,17.1,0.4,0.5,-2.9,-0.1,0.9,0.07,0.0,0.366,12,2022
Alfonzo McKinnie,CHI,17.0,3.0,12.1,0.393,0.333,0.441,0.467,0.25,1.9,0.3,0.1,0.2,3.5,5.6,0.457,10.9,9.0,3.2,0.5,1.3,15.3,-0.2,0.1,-9.0,-0.4,-0.1,-0.015,0.0,0.561,6,2022
Alize Johnson,WAS,23.0,0.0,7.3,0.436,0.0,0.486,0.436,0.583,2.7,0.4,0.2,0.0,1.8,10.7,0.463,22.1,20.4,7.1,1.5,0.0,14.8,0.0,0.1,-5.5,-0.1,0.1,0.041,0.0,0.427,12,2022
Alperen Şengün,HOU,72.0,13.0,20.7,0.474,0.248,0.539,0.502,0.711,5.5,2.6,0.8,0.9,9.6,16.0,0.552,18.9,14.5,19.1,1.9,4.1,22.0,0.8,1.3,-1.0,0.4,2.1,0.068,0.0,0.244,15,2022
Amir Coffey,LAC,69.0,30.0,22.7,0.453,0.378,0.542,0.556,0.863,2.9,1.8,0.6,0.2,9.0,13.0,0.598,11.2,6.7,11.4,1.2,0.8,15.8,2.3,1.5,-0.3,0.7,3.8,0.116,0.0,0.512,8,2022
Andre Drummond,PHI,73.0,36.0,19.7,0.57,0.0,0.574,0.57,0.524,9.3,1.8,1.1,0.9,7.9,21.0,0.574,34.1,26.2,13.7,2.7,4.2,19.0,2.0,3.1,1.3,1.2,5.1,0.17,0.0,0.622,4,2022
Andre Iguodala,GSW,31.0,0.0,19.5,0.38,0.23,0.617,0.45,0.75,3.2,3.7,0.9,0.7,4.0,12.3,0.478,13.9,9.1,24.7,2.2,3.5,11.4,0.5,1.1,2.7,0.7,1.6,0.125,0.0,0.646,3,2022
Andrew Wiggins,GSW,73.0,73.0,31.9,0.466,0.393,0.513,0.543,0.634,4.5,2.2,1.0,0.7,17.2,15.0,0.56,10.9,7.6,10.8,1.6,2.1,23.1,1.8,3.4,0.4,1.4,5.1,0.105,0.0,0.646,3,2022
Anfernee Simons,POR,57.0,30.0,29.5,0.443,0.405,0.49,0.555,0.888,2.6,3.9,0.5,0.1,17.3,15.3,0.583,8.5,4.9,22.2,0.9,0.4,24.8,2.0,-0.1,-0.7,0.5,1.9,0.055,0.0,0.329,13,2022
Anthony Davis,LAL,40.0,40.0,35.1,0.532,0.186,0.571,0.542,0.713,9.8,3.0,1.2,2.2,23.2,23.9,0.578,22.0,15.1,14.7,1.7,5.7,27.1,2.6,2.0,3.8,2.0,4.5,0.155,0.0,0.402,11,2022
Anthony Edwards,MIN,72.0,72.0,34.2,0.441,0.357,0.519,0.527,0.786,4.8,3.8,1.5,0.6,21.3,16.5,0.56,12.5,7.5,17.4,2.0,1.8,26.4,1.8,2.4,1.2,2.0,4.3,0.084,0.0,0.561,7,2022
Anthony Gill,WAS,44.0,0.0,10.5,0.569,0.538,0.578,0.633,0.808,1.9,0.6,0.1,0.2,4.1,14.7,0.682,12.2,10.2,8.3,0.5,2.0,14.4,1.1,0.2,-1.9,0.0,1.4,0.14,0.0,0.427,12,2022
Anthony Lamb,SAS,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-0.5,0.0,13.2,6.6,27.9,0.0,0.0,10.6,0.0,0.0,-8.0,0.0,0.0,-0.138,0.0,0.415,10,2022
Armoni Brooks,TOR,54.0,11.0,15.6,0.339,0.297,0.6,0.467,0.857,1.9,1.1,0.5,0.2,5.3,8.4,0.483,10.9,6.7,10.4,1.6,1.2,16.4,-0.1,0.4,-3.9,-0.4,0.2,0.014,0.0,0.585,5,2022
Arnoldas Kulboka,CHO,2.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,-21.8,0.0,0.0,-0.217,0.0,0.524,10,2022
Austin Reaves,LAL,61.0,19.0,23.2,0.459,0.317,0.616,0.542,0.839,3.2,1.8,0.5,0.3,7.3,11.5,0.6,11.2,7.3,10.3,1.0,1.3,12.4,2.1,0.8,-1.9,0.0,2.9,0.097,0.0,0.402,11,2022
Austin Rivers,DEN,67.0,18.0,22.1,0.417,0.342,0.563,0.53,0.727,1.7,1.3,0.8,0.1,6.0,7.2,0.546,6.9,4.3,8.0,1.7,0.4,12.6,0.1,1.1,-3.8,-0.7,1.2,0.037,0.0,0.585,6,2022
Avery Bradley,LAL,62.0,45.0,22.7,0.423,0.39,0.471,0.54,0.889,2.2,0.8,0.9,0.1,6.4,7.8,0.55,8.0,5.2,4.5,1.8,0.6,12.1,0.3,0.9,-3.6,-0.6,1.2,0.04,0.0,0.402,11,2022
Ayo Dosunmu,CHI,77.0,40.0,27.4,0.52,0.376,0.596,0.585,0.679,2.8,3.3,0.8,0.4,8.8,11.2,0.596,9.9,5.7,16.5,1.4,1.2,14.1,1.7,1.3,-2.0,0.0,3.0,0.069,0.0,0.561,6,2022
B.J. Johnson,ORL,4.0,0.0,16.2,0.44,0.4,0.467,0.52,0.0,3.8,0.0,0.0,0.2,6.5,12.1,0.52,14.7,12.2,0.0,0.0,1.4,16.7,0.1,0.0,-4.7,0.0,0.1,0.065,0.0,0.268,15,2022
Bam Adebayo,MIA,56.0,56.0,32.6,0.557,0.0,0.562,0.557,0.753,10.1,3.4,1.4,0.8,19.1,21.8,0.608,26.1,17.5,17.5,2.2,2.6,25.0,3.6,3.5,3.8,2.7,7.2,0.188,0.0,0.646,1,2022
Ben McLemore,POR,64.0,6.0,20.1,0.401,0.362,0.533,0.541,0.818,1.6,0.9,0.6,0.2,10.2,11.7,0.567,8.1,4.4,7.3,1.4,0.8,21.3,0.7,0.2,-3.2,-0.4,0.8,0.031,0.0,0.329,13,2022
Bismack Biyombo,PHO,36.0,3.0,14.1,0.593,0.0,0.593,0.593,0.535,4.6,0.6,0.3,0.7,5.8,17.3,0.596,21.5,17.7,6.2,1.1,4.6,17.1,0.9,0.9,-1.3,0.1,1.8,0.17,0.0,0.78,1,2022
Blake Griffin,BRK,56.0,24.0,17.1,0.425,0.262,0.565,0.486,0.724,4.1,1.9,0.5,0.2,6.4,13.7,0.518,18.6,13.0,15.0,1.4,1.3,16.9,1.2,0.9,-0.5,0.3,2.1,0.106,0.0,0.537,7,2022
Boban Marjanović,DAL,23.0,0.0,5.6,0.6,0.25,0.621,0.607,0.591,1.7,0.1,0.0,0.1,4.3,18.5,0.615,27.0,16.9,4.8,0.0,2.1,33.3,-0.1,0.2,-4.4,-0.1,0.1,0.045,0.0,0.634,4,2022
Bobby Portis,MIL,72.0,59.0,28.2,0.479,0.393,0.533,0.555,0.752,9.1,1.2,0.7,0.7,14.6,17.7,0.571,24.4,17.2,6.4,1.3,2.4,21.3,2.9,2.6,0.2,1.1,5.5,0.131,0.0,0.622,3,2022
Bogdan Bogdanović,ATL,63.0,27.0,29.3,0.431,0.368,0.516,0.537,0.843,4.0,3.1,1.1,0.2,15.1,15.4,0.562,13.0,7.4,15.5,1.8,0.7,21.6,2.5,1.2,1.3,1.5,3.7,0.095,0.0,0.524,9,2022
Bojan Bogdanović,UTA,69.0,69.0,30.9,0.455,0.387,0.524,0.552,0.858,4.3,1.7,0.5,0.0,18.1,15.7,0.599,11.8,7.6,8.7,0.8,0.0,23.7,3.6,1.6,0.0,1.1,5.2,0.118,0.0,0.598,5,2022
Bol Bol,DEN,14.0,0.0,5.8,0.556,0.25,0.609,0.574,0.4,1.4,0.4,0.1,0.1,2.4,13.5,0.565,21.4,13.8,9.1,0.6,2.2,18.0,0.0,0.1,-1.0,0.0,0.1,0.065,0.0,0.585,6,2022
Bones Hyland,DEN,69.0,4.0,19.0,0.403,0.366,0.465,0.518,0.856,2.7,2.8,0.6,0.3,10.1,14.4,0.558,14.4,8.0,21.2,1.5,1.4,23.8,1.1,1.3,-0.4,0.5,2.4,0.088,0.0,0.585,6,2022
Brad Wanamaker,WAS,23.0,2.0,13.9,0.364,0.235,0.4,0.39,0.92,1.7,2.4,0.3,0.3,3.6,7.5,0.472,11.6,6.8,22.4,1.1,1.6,14.9,-0.1,0.1,-5.8,-0.3,0.0,0.004,0.0,0.427,12,2022
Bradley Beal,WAS,40.0,40.0,36.0,0.451,0.3,0.508,0.492,0.833,4.7,6.6,0.9,0.4,23.2,17.5,0.539,11.4,7.3,30.8,1.2,0.9,30.8,0.6,0.7,0.8,1.0,1.4,0.046,0.0,0.427,12,2022
Brandon Boston Jr.,LAC,51.0,0.0,14.9,0.385,0.306,0.425,0.437,0.819,2.2,1.0,0.5,0.3,6.7,11.2,0.481,12.7,7.7,10.1,1.7,1.5,22.4,-0.5,0.9,-3.3,-0.3,0.4,0.026,0.0,0.512,8,2022
