Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Brooks,MIN,32.0,1.0,5.9,0.406,0.355,0.447,0.486,0.727,0.5,0.6,0.2,0.0,2.3,9.8,0.508,6.2,5.2,15.1,1.6,0.0,19.9,0.1,0.1,-3.8,-0.1,0.1,0.033,0.0,0.573,8,2018
Aaron Gordon,ORL,58.0,57.0,32.9,0.434,0.336,0.497,0.5,0.698,7.9,2.3,1.0,0.8,17.6,16.5,0.53,21.5,13.2,11.7,1.5,1.9,24.7,0.9,2.0,0.3,1.1,2.9,0.072,0.0,0.305,14,2018
Aaron Harrison,DAL,9.0,3.0,25.9,0.275,0.209,0.385,0.341,0.765,2.7,1.2,1.0,0.2,6.7,5.1,0.392,9.9,5.7,6.7,1.9,0.8,15.5,-0.3,0.2,-7.5,-0.3,-0.1,-0.014,0.0,0.293,13,2018
Aaron Jackson,HOU,1.0,0.0,35.0,0.333,0.25,0.4,0.389,0.5,3.0,1.0,0.0,0.0,8.0,2.4,0.405,3.2,4.8,4.0,0.0,0.0,13.7,0.0,0.0,-8.9,-0.1,0.0,-0.017,0.0,0.793,1,2018
Abdel Nader,BOS,48.0,1.0,10.9,0.336,0.354,0.321,0.413,0.59,1.5,0.5,0.3,0.2,3.0,5.1,0.439,12.0,7.4,7.1,1.4,1.6,17.1,-0.9,0.8,-5.3,-0.4,-0.1,-0.014,0.0,0.671,2,2018
Adreian Payne,ORL,5.0,0.0,8.6,0.7,0.667,0.714,0.8,0.833,1.8,0.0,0.4,0.0,4.2,18.8,0.831,18.0,11.5,0.0,2.3,0.0,15.0,0.1,0.0,2.4,0.0,0.2,0.203,0.0,0.305,14,2018
Al Horford,BOS,72.0,72.0,31.6,0.489,0.429,0.514,0.553,0.783,7.4,4.7,0.6,1.1,12.9,17.6,0.575,20.2,12.7,23.6,0.9,2.9,18.4,4.0,3.8,4.4,3.7,7.8,0.165,0.0,0.671,2,2018
Al Jefferson,IND,36.0,1.0,13.4,0.534,0.0,0.541,0.534,0.833,4.0,0.8,0.4,0.6,7.0,20.2,0.563,26.2,16.7,10.0,1.7,4.2,22.5,0.8,0.8,2.0,0.5,1.6,0.158,0.0,0.585,5,2018
Al-Farouq Aminu,POR,69.0,67.0,30.0,0.395,0.369,0.432,0.503,0.738,7.6,1.2,1.1,0.6,9.3,12.0,0.522,22.3,13.8,5.8,1.9,1.6,14.8,0.9,3.2,0.4,1.3,4.2,0.097,0.0,0.598,3,2018
Alan Williams,PHO,5.0,0.0,14.0,0.389,0.0,0.389,0.389,0.667,4.4,1.6,1.0,0.2,4.0,9.3,0.455,29.5,16.8,16.3,3.4,1.2,17.5,-0.1,0.1,-5.0,-0.1,0.0,-0.004,0.0,0.256,15,2018
