Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron McKie,LAL,14.0,0.0,8.6,0.25,0.0,0.3,0.25,0.5,1.4,0.8,0.4,0.0,0.5,6.1,0.272,16.5,9.7,12.5,2.2,0.0,5.6,0.0,0.1,-2.4,0.0,0.1,0.041,0.0,.549,6,2006
Aaron Miles,GSW,19.0,0.0,6.2,0.333,0.0,0.333,0.333,1.0,0.7,1.3,0.2,0.1,0.8,6.0,0.405,13.6,6.6,29.5,1.7,0.6,11.6,-0.2,0.1,-5.0,-0.1,0.0,-0.015,0.0,.415,12,2006
Aaron Williams,TOR,48.0,5.0,16.5,0.517,0.0,0.517,0.517,0.69,3.8,0.4,0.4,0.4,4.6,11.6,0.551,18.2,13.6,3.6,1.2,2.2,13.7,0.8,0.8,-3.6,-0.3,1.6,0.096,0.0,.329,12,2006
Adonal Foyle,GSW,77.0,72.0,23.7,0.507,0.0,0.507,0.507,0.612,5.5,0.4,0.6,1.6,4.5,10.3,0.524,17.6,13.0,2.8,1.2,5.1,10.0,0.3,2.5,-1.7,0.1,2.8,0.075,0.0,.415,12,2006
Adrian Griffin,DAL,52.0,45.0,23.9,0.48,0.0,0.485,0.48,0.774,4.4,1.7,1.0,0.2,4.6,11.6,0.521,14.4,11.0,10.8,2.2,0.6,10.0,1.4,1.5,0.8,0.9,2.9,0.113,0.0,.732,2,2006
Al Harrington,ATL,76.0,76.0,36.6,0.452,0.346,0.471,0.479,0.694,6.9,3.1,1.1,0.2,18.6,16.0,0.513,17.4,11.3,15.8,1.6,0.4,25.6,2.6,1.2,-1.3,0.5,3.8,0.065,0.0,.317,14,2006
Al Jefferson,BOS,59.0,7.0,18.0,0.499,0.0,0.504,0.499,0.642,5.1,0.5,0.5,0.8,7.9,16.2,0.53,22.6,17.2,5.0,1.5,3.3,21.6,0.9,1.5,-2.1,0.0,2.3,0.105,0.0,.402,11,2006
Alan Anderson,CHO,36.0,7.0,15.7,0.414,0.414,0.415,0.481,0.805,1.9,0.9,0.3,0.1,5.8,10.4,0.52,10.3,7.2,9.3,1.0,0.6,18.2,0.2,0.3,-3.3,-0.2,0.4,0.037,0.0,.317,13,2006
Alan Henderson,CLE,51.0,3.0,10.4,0.516,0.0,0.516,0.516,0.673,2.7,0.2,0.2,0.2,2.5,12.2,0.564,17.3,15.3,2.9,0.9,1.7,11.7,0.7,0.6,-2.1,0.0,1.3,0.116,0.0,.610,3,2006
Alex Acker,DET,5.0,0.0,7.0,0.25,0.2,0.273,0.281,0.0,1.0,0.8,0.2,0.0,1.8,-2.4,0.281,13.7,8.5,17.9,1.6,0.0,27.2,-0.2,0.0,-15.3,-0.1,-0.2,-0.23,0.0,.780,1,2006
Alex Scales,SAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.768,1,2006
Allen Iverson,PHI,72.0,72.0,43.1,0.447,0.323,0.465,0.467,0.814,3.2,7.4,1.9,0.1,33.0,25.9,0.543,7.1,4.4,34.9,2.3,0.2,35.8,8.8,1.8,4.8,5.3,10.6,0.165,0.001,.463,9,2006
Alonzo Mourning,MIA,65.0,20.0,20.0,0.597,0.0,0.599,0.597,0.594,5.5,0.2,0.2,2.7,7.8,19.4,0.615,20.3,16.2,1.4,0.5,10.2,17.5,2.1,2.6,1.8,1.2,4.8,0.176,0.0,.634,2,2006
Alvin Williams,TOR,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.0,0.0,1.0,-4.7,0.129,38.3,18.3,0.0,0.0,0.0,17.9,-0.1,0.0,-15.1,0.0,-0.1,-0.278,0.0,.329,12,2006
Amar'e Stoudemire,PHO,3.0,3.0,16.7,0.333,0.0,0.346,0.333,0.889,5.3,0.7,0.3,1.0,8.7,17.8,0.42,21.7,17.8,5.9,1.0,4.2,28.7,0.0,0.1,-4.4,0.0,0.1,0.085,0.0,.659,3,2006
Amir Johnson,DET,3.0,0.0,13.0,0.7,0.667,0.714,0.8,1.0,1.3,1.0,0.0,0.7,6.7,20.3,0.85,3.1,6.1,13.4,0.0,3.7,19.2,0.1,0.0,0.4,0.0,0.2,0.208,0.0,.780,1,2006
Anderson Varejão,CLE,48.0,4.0,15.8,0.527,0.0,0.53,0.527,0.513,4.9,0.4,0.6,0.4,4.6,14.8,0.541,24.8,18.3,4.0,2.2,1.9,14.0,1.1,1.3,-0.8,0.2,2.3,0.146,0.0,.610,3,2006
Andray Blatche,WAS,29.0,0.0,6.0,0.388,0.231,0.426,0.41,0.833,1.3,0.3,0.2,0.2,2.2,10.1,0.45,17.8,12.6,9.5,1.5,3.1,21.5,-0.1,0.2,-5.0,-0.1,0.1,0.026,0.0,.512,5,2006
Andre Barrett,TOR,19.0,0.0,14.8,0.365,0.143,0.4,0.375,0.75,1.3,2.7,0.5,0.0,4.6,11.3,0.398,7.1,5.4,29.5,1.9,0.0,20.3,-0.1,0.0,-3.6,-0.1,-0.1,-0.019,0.0,.329,12,2006
Andre Iguodala,PHI,82.0,82.0,37.6,0.5,0.354,0.543,0.541,0.754,5.9,3.1,1.6,0.3,12.3,14.8,0.598,13.8,9.1,12.9,2.3,0.5,14.7,4.9,2.6,0.6,2.0,7.5,0.116,0.0,.463,9,2006
Andre Miller,DEN,82.0,82.0,35.8,0.463,0.185,0.472,0.466,0.738,4.3,8.2,1.3,0.2,13.7,16.4,0.532,10.2,7.0,36.2,1.8,0.5,20.0,3.6,2.6,0.2,1.7,6.2,0.101,0.0,.537,7,2006
Andre Owens,UTA,23.0,2.0,9.1,0.365,0.188,0.414,0.385,0.667,0.9,0.3,0.2,0.0,3.0,5.2,0.421,5.8,6.1,6.8,1.3,0.0,20.9,-0.3,0.1,-8.3,-0.3,-0.2,-0.047,0.0,.500,9,2006
Andrei Kirilenko,UTA,69.0,63.0,37.7,0.46,0.308,0.489,0.485,0.699,8.0,4.3,1.5,3.2,15.3,20.7,0.556,18.4,12.9,20.5,2.1,7.0,20.5,3.6,4.3,6.6,5.6,7.9,0.145,0.0,.500,9,2006
Andrew Bogut,MIL,82.0,77.0,28.6,0.533,0.0,0.536,0.533,0.629,7.0,2.3,0.6,0.8,9.4,15.2,0.555,19.8,14.5,13.4,1.1,2.3,15.9,3.1,2.4,0.4,1.4,5.5,0.113,0.0,.488,8,2006
Andrew Bynum,LAL,46.0,0.0,7.3,0.402,0.0,0.402,0.402,0.296,1.7,0.2,0.1,0.5,1.6,7.4,0.394,16.0,13.9,4.1,0.6,5.0,15.0,-0.4,0.4,-6.9,-0.4,0.1,0.007,0.0,.549,6,2006
Andris Biedriņš,GSW,68.0,2.0,14.7,0.638,0.0,0.638,0.638,0.306,4.2,0.4,0.3,0.7,3.8,13.6,0.595,18.2,15.8,3.9,1.2,3.5,11.2,1.6,1.3,-1.6,0.1,2.9,0.137,0.0,.415,12,2006
Andrés Nocioni,CHI,82.0,43.0,27.3,0.461,0.391,0.489,0.517,0.843,6.1,1.4,0.5,0.6,13.0,16.1,0.567,21.0,12.8,9.0,0.9,1.8,21.3,3.3,3.4,1.7,2.1,6.7,0.144,0.0,.500,7,2006
Anfernee Hardaway,NYK,4.0,0.0,18.0,0.286,0.0,0.308,0.286,1.0,2.5,2.0,0.5,0.0,2.5,2.0,0.336,17.1,8.4,17.0,1.5,0.0,13.1,-0.2,0.0,-5.7,-0.1,-0.2,-0.101,0.0,.280,15,2006
Antawn Jamison,WAS,82.0,80.0,40.1,0.442,0.394,0.458,0.491,0.731,9.3,1.9,1.1,0.1,20.5,17.7,0.518,21.8,13.5,8.7,1.4,0.3,23.9,4.9,3.2,1.2,2.7,8.2,0.119,0.0,.512,5,2006
Anthony Carter,MIN,45.0,8.0,13.1,0.387,0.267,0.402,0.401,0.727,1.4,2.2,0.5,0.2,3.3,10.6,0.465,10.5,6.3,26.9,2.2,1.2,16.2,-0.1,0.7,-2.2,0.0,0.6,0.047,0.0,.402,14,2006
Anthony Goldwire,LAC,3.0,0.0,7.3,0.143,0.0,0.2,0.143,0.0,0.3,0.7,0.0,0.0,0.7,-5.5,0.143,5.1,2.6,12.8,0.0,0.0,16.8,-0.1,0.0,-13.0,-0.1,-0.1,-0.245,0.0,.573,5,2006
Anthony Grundy,ATL,12.0,0.0,9.0,0.5,0.333,0.609,0.566,0.643,1.4,0.8,0.6,0.0,4.3,16.6,0.589,18.3,9.5,14.7,3.4,0.0,22.4,0.1,0.1,-0.4,0.0,0.2,0.095,0.0,.317,14,2006
Anthony Johnson,IND,75.0,53.0,26.4,0.443,0.329,0.482,0.485,0.752,2.2,4.3,0.8,0.3,9.2,14.2,0.52,7.7,4.9,28.6,1.7,0.8,18.3,2.2,2.3,0.7,1.3,4.5,0.108,0.0,.500,6,2006
Anthony Roberson,MEM,16.0,0.0,5.5,0.452,0.5,0.429,0.532,1.0,0.4,0.3,0.1,0.0,2.2,11.7,0.549,8.2,4.1,10.7,0.6,0.0,19.3,0.1,0.1,-2.3,0.0,0.2,0.088,0.0,.598,4,2006
