Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Gordon,ORL,50.0,50.0,27.7,0.463,0.335,0.533,0.522,0.651,5.7,3.2,0.7,0.7,12.4,14.5,0.547,16.4,11.1,17.8,1.2,2.3,20.7,0.7,1.2,0.1,0.7,1.9,0.066,0.0,0.292,14,2021
Aaron Holiday,IND,66.0,8.0,17.8,0.39,0.368,0.406,0.467,0.819,1.3,1.9,0.7,0.2,7.2,9.2,0.503,6.8,4.1,14.0,1.8,0.9,19.5,-0.6,0.8,-4.2,-0.7,0.2,0.009,0.0,0.472,9,2021
Aaron Nesmith,BOS,46.0,1.0,14.5,0.438,0.37,0.543,0.551,0.786,2.8,0.5,0.3,0.2,4.7,9.4,0.573,16.6,10.6,4.6,1.1,1.3,13.7,0.5,0.6,-3.2,-0.2,1.1,0.076,0.0,0.5,7,2021
Abdel Nader,PHO,24.0,0.0,14.8,0.491,0.419,0.534,0.569,0.757,2.6,0.8,0.4,0.4,6.7,13.4,0.605,17.3,9.9,7.3,1.4,2.3,19.0,0.3,0.4,0.0,0.2,0.7,0.095,0.0,0.708,2,2021
Adam Mokoka,CHI,14.0,0.0,4.0,0.368,0.1,0.667,0.395,0.0,0.4,0.4,0.1,0.1,1.1,2.2,0.386,7.8,4.9,11.9,1.7,1.6,18.9,-0.2,0.1,-9.3,-0.1,-0.1,-0.112,0.0,0.431,11,2021
Al Horford,OKC,28.0,28.0,27.9,0.45,0.368,0.51,0.528,0.818,6.7,3.4,0.9,0.9,14.2,17.4,0.538,21.4,12.5,20.1,1.5,2.9,21.6,0.8,0.9,3.4,1.1,1.6,0.101,0.0,0.306,14,2021
Al-Farouq Aminu,ORL,23.0,14.0,18.9,0.384,0.216,0.484,0.424,0.818,4.8,1.3,0.8,0.4,4.4,8.9,0.469,21.9,13.3,10.1,2.1,1.9,13.6,-0.4,0.5,-3.8,-0.2,0.1,0.01,0.0,0.292,14,2021
Alec Burks,NYK,49.0,5.0,25.6,0.42,0.415,0.425,0.522,0.856,4.6,2.2,0.6,0.3,12.7,14.8,0.564,17.6,9.8,13.2,1.2,1.1,21.3,1.5,1.8,1.5,1.1,3.3,0.126,0.0,0.569,4,2021
Aleksej Pokusevski,OKC,45.0,28.0,24.2,0.341,0.28,0.403,0.412,0.738,4.7,2.2,0.4,0.9,8.2,6.1,0.43,17.6,10.1,13.1,0.9,3.4,20.5,-2.9,1.0,-6.1,-1.1,-1.9,-0.084,0.0,0.306,14,2021
Alen Smailagić,GSW,15.0,1.0,5.6,0.407,0.4,0.412,0.481,0.333,1.1,0.3,0.2,0.3,1.9,8.9,0.472,12.5,10.1,6.5,1.7,5.2,17.6,-0.1,0.1,-5.3,-0.1,0.0,0.015,0.0,0.542,8,2021
Alex Caruso,LAL,58.0,6.0,21.0,0.436,0.401,0.464,0.526,0.645,2.9,2.8,1.1,0.3,6.4,11.1,0.547,12.8,7.9,18.1,2.6,1.1,14.8,0.3,2.1,0.0,0.6,2.4,0.095,0.0,0.583,7,2021
Alex Len,WAS,64.0,42.0,15.3,0.615,0.32,0.644,0.629,0.629,4.1,0.8,0.3,1.0,6.6,16.4,0.643,19.7,14.1,7.0,0.9,5.6,16.3,1.5,1.3,-0.1,0.5,2.7,0.133,0.0,0.472,8,2021
Alfonzo McKinnie,LAL,39.0,0.0,6.6,0.516,0.41,0.593,0.602,0.556,1.4,0.2,0.2,0.0,3.1,15.5,0.604,13.9,11.8,3.6,1.3,0.0,17.8,0.5,0.3,-0.4,0.1,0.8,0.156,0.0,0.583,7,2021
Alize Johnson,BRK,18.0,0.0,10.5,0.588,0.167,0.629,0.596,1.0,5.0,0.8,0.3,0.3,5.2,23.5,0.638,35.0,26.3,10.9,1.3,2.3,19.1,0.6,0.3,2.7,0.2,0.9,0.227,0.0,0.667,2,2021
Amida Brimah,IND,5.0,0.0,5.8,0.625,0.0,0.625,0.625,1.0,1.6,0.2,0.0,1.0,2.6,16.6,0.697,22.3,15.0,4.8,0.0,14.0,19.6,0.0,0.1,-4.8,0.0,0.0,0.073,0.0,0.472,9,2021
Amir Coffey,LAC,44.0,1.0,9.0,0.437,0.411,0.468,0.549,0.711,1.0,0.5,0.2,0.0,3.2,10.1,0.585,9.4,6.3,7.4,1.3,0.0,15.1,0.4,0.3,-2.0,0.0,0.7,0.085,0.0,0.653,4,2021
Anderson Varejão,CLE,5.0,0.0,7.2,0.25,0.0,0.267,0.25,0.556,4.0,0.6,0.0,0.4,2.6,12.9,0.326,41.4,31.1,12.2,0.0,5.0,25.4,-0.1,0.0,-7.1,0.0,0.0,-0.029,0.0,0.306,13,2021
Andre Drummond,LAL,46.0,46.0,27.0,0.493,0.0,0.5,0.493,0.6,12.0,2.0,1.4,1.1,14.9,19.4,0.519,35.2,24.9,13.2,2.5,3.5,27.6,-0.6,2.5,-1.2,0.3,2.0,0.077,0.0,0.583,7,2021
Andre Iguodala,MIA,63.0,5.0,21.3,0.383,0.33,0.53,0.504,0.658,3.5,2.3,0.9,0.6,4.4,9.2,0.519,15.4,9.4,14.3,2.1,2.7,11.2,-0.1,1.8,-0.4,0.5,1.7,0.062,0.0,0.556,6,2021
