Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron McKie,LAL,10.0,0.0,13.1,0.647,0.0,0.647,0.647,0.0,1.8,1.3,0.4,0.0,2.2,7.5,0.647,15.1,8.0,14.4,1.6,0.0,8.6,0.0,0.1,-4.2,-0.1,0.1,0.039,0.0,.512,7,2007
Aaron Williams,LAC,38.0,7.0,9.8,0.547,0.0,0.558,0.547,0.818,2.2,0.2,0.2,0.4,2.0,9.4,0.606,18.4,13.6,2.9,1.0,2.9,10.0,0.2,0.4,-2.7,-0.1,0.7,0.089,0.0,.488,9,2007
Adam Morrison,CHA,78.0,23.0,29.8,0.376,0.337,0.391,0.422,0.71,2.9,2.1,0.4,0.1,11.8,7.9,0.45,9.2,5.9,11.9,0.6,0.2,22.4,-2.2,0.8,-5.1,-1.8,-1.5,-0.03,0.0,.402,12,2007
Adonal Foyle,GSW,48.0,6.0,9.9,0.565,0.0,0.565,0.565,0.44,2.6,0.4,0.2,1.0,2.2,13.7,0.557,17.7,14.6,5.5,1.1,8.0,10.7,0.4,0.6,-0.7,0.2,1.0,0.104,0.0,.512,8,2007
Adrian Griffin,CHI,54.0,1.0,10.8,0.473,0.0,0.496,0.473,0.789,2.0,1.1,0.6,0.1,2.5,10.7,0.499,13.4,10.6,15.2,2.8,0.5,13.3,0.1,1.2,-0.3,0.3,1.3,0.103,0.0,.598,3,2007
Al Harrington,IND,78.0,78.0,32.9,0.457,0.433,0.466,0.516,0.694,6.4,1.9,0.8,0.3,16.5,14.8,0.54,15.4,10.9,9.8,1.3,0.7,23.1,2.0,2.2,-0.9,0.7,4.3,0.08,0.0,.427,10,2007
Al Jefferson,BOS,69.0,60.0,33.6,0.514,0.0,0.514,0.514,0.681,11.0,1.3,0.7,1.5,16.0,19.8,0.547,27.4,19.5,7.2,1.1,3.5,22.4,3.3,3.3,0.7,1.6,6.6,0.137,0.0,.293,15,2007
Alan Anderson,CHA,17.0,0.0,15.1,0.457,0.25,0.525,0.488,0.826,1.9,1.2,0.4,0.0,5.8,10.1,0.538,10.0,7.4,13.8,1.4,0.0,20.1,0.0,0.1,-4.5,-0.2,0.1,0.024,0.0,.402,12,2007
Alan Henderson,PHI,38.0,5.0,11.0,0.642,0.0,0.642,0.642,0.702,2.8,0.3,0.2,0.3,3.1,15.7,0.679,16.9,15.4,3.8,1.1,2.2,11.0,1.1,0.4,-0.6,0.1,1.6,0.181,0.0,.427,9,2007
Alexander Johnson,MEM,59.0,19.0,12.8,0.538,0.0,0.538,0.538,0.661,3.1,0.3,0.4,0.6,4.4,13.2,0.588,20.8,14.4,3.6,1.7,3.5,16.1,0.7,0.6,-3.5,-0.3,1.3,0.083,0.0,.268,15,2007
Allan Ray,BOS,47.0,5.0,15.1,0.386,0.414,0.364,0.479,0.764,1.5,0.9,0.4,0.1,6.2,10.0,0.512,8.8,5.8,10.5,1.5,0.3,20.8,0.1,0.5,-2.7,-0.1,0.6,0.039,0.0,.293,15,2007
Allen Iverson,PHI,65.0,64.0,42.5,0.442,0.315,0.465,0.466,0.795,3.0,7.2,1.9,0.2,26.3,19.6,0.54,6.9,4.0,29.6,2.2,0.3,29.3,4.0,2.2,1.8,2.6,6.2,0.108,0.0,.427,9,2007
Alonzo Mourning,MIA,77.0,43.0,20.4,0.56,0.0,0.56,0.56,0.601,4.5,0.2,0.2,2.3,8.6,16.7,0.59,16.4,13.1,2.0,0.4,9.0,20.8,1.0,2.5,-1.9,0.0,3.5,0.107,0.0,.537,5,2007
Alvin Williams,LAC,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.0,0.0,1.0,6.6,0.266,0.0,6.0,41.1,10.6,0.0,31.2,-0.1,0.0,-4.7,0.0,-0.1,-0.309,0.0,.488,9,2007
Amar'e Stoudemire,PHO,82.0,78.0,32.8,0.575,0.0,0.577,0.575,0.781,9.6,1.0,1.0,1.3,20.4,23.1,0.637,23.3,17.0,5.0,1.5,2.9,25.8,7.2,4.0,1.8,2.6,11.2,0.201,0.002,.744,2,2007
Amir Johnson,DET,8.0,0.0,15.5,0.545,0.0,0.6,0.545,0.786,4.6,0.4,0.6,1.6,5.9,20.6,0.6,21.1,17.7,4.1,2.2,8.1,18.5,0.2,0.3,0.2,0.1,0.5,0.183,0.0,.646,1,2007
Anderson Varejão,CLE,81.0,6.0,23.9,0.476,0.0,0.487,0.476,0.616,6.7,0.9,0.9,0.6,6.8,14.4,0.527,21.8,16.4,6.0,2.1,2.1,13.7,2.6,4.0,0.0,1.0,6.6,0.164,0.0,.610,2,2007
Andray Blatche,WAS,56.0,13.0,12.2,0.437,0.148,0.482,0.447,0.612,3.4,0.7,0.3,0.6,3.7,12.1,0.471,19.8,16.1,8.8,1.3,3.6,17.2,-0.1,0.5,-3.6,-0.3,0.5,0.033,0.0,.500,7,2007
Andre Barrett,CHI,6.0,0.0,4.8,0.5,0.0,0.5,0.5,0.0,0.8,1.2,0.0,0.0,1.3,8.2,0.5,15.6,9.8,38.2,0.0,0.0,18.4,0.0,0.0,-5.3,0.0,0.0,0.014,0.0,.598,3,2007
Andre Brown,SEA,38.0,0.0,7.1,0.568,0.0,0.575,0.568,0.6,1.9,0.1,0.2,0.1,2.4,11.1,0.577,21.4,16.4,1.2,1.2,1.1,18.4,-0.2,0.2,-5.2,-0.2,0.0,-0.002,0.0,.378,14,2007
Andre Iguodala,PHI,76.0,76.0,40.3,0.447,0.31,0.472,0.471,0.82,5.7,5.7,2.0,0.4,18.2,18.1,0.562,14.0,8.5,23.8,2.6,0.8,22.6,4.1,3.6,2.4,3.4,7.7,0.12,0.0,.427,9,2007
Andre Miller,PHI,80.0,79.0,37.1,0.466,0.143,0.479,0.469,0.784,4.4,7.8,1.4,0.1,13.4,16.1,0.52,10.1,7.0,34.3,1.9,0.3,19.2,3.5,2.4,0.2,1.7,5.9,0.095,0.0,.427,9,2007
Andrea Bargnani,TOR,65.0,2.0,25.1,0.427,0.373,0.468,0.507,0.824,3.9,0.8,0.5,0.8,11.6,12.8,0.546,14.8,9.2,5.1,1.0,2.5,22.6,0.2,1.7,-1.8,0.1,1.9,0.057,0.0,.573,4,2007
Andreas Glyniadakis,SEA,13.0,4.0,6.2,0.471,0.0,0.471,0.471,0.5,0.6,0.1,0.0,0.0,1.3,-3.3,0.475,9.0,5.9,1.8,0.0,0.0,15.1,-0.2,0.0,-14.0,-0.2,-0.2,-0.143,0.0,.378,14,2007
Andrei Kirilenko,UTA,70.0,70.0,29.3,0.471,0.213,0.528,0.49,0.728,4.7,2.9,1.1,2.1,8.3,14.3,0.558,14.3,9.8,14.5,1.9,5.8,14.4,1.6,2.9,3.8,3.0,4.4,0.104,0.0,.622,5,2007
Andrew Bogut,MIL,66.0,66.0,34.2,0.553,0.2,0.556,0.554,0.577,8.8,3.0,0.7,0.5,12.3,15.5,0.566,21.9,15.2,13.9,1.1,1.2,17.3,2.6,1.4,0.0,1.2,4.0,0.085,0.0,.341,14,2007
Andrew Bynum,LAL,82.0,53.0,21.9,0.558,0.0,0.561,0.558,0.668,5.9,1.1,0.1,1.6,7.8,15.4,0.593,22.3,15.8,8.2,0.3,5.4,16.3,2.3,1.9,-1.0,0.5,4.2,0.112,0.0,.512,7,2007
Andris Biedriņš,GSW,82.0,63.0,29.0,0.599,0.0,0.599,0.599,0.521,9.3,1.1,0.8,1.7,9.5,16.2,0.598,24.0,17.5,5.4,1.4,4.3,13.8,3.5,3.3,-0.3,1.0,6.7,0.136,0.0,.512,8,2007
Andrés Nocioni,CHI,53.0,31.0,26.5,0.467,0.383,0.515,0.536,0.848,5.7,1.1,0.5,0.5,14.1,15.6,0.578,20.9,12.2,7.0,1.0,1.3,23.8,1.4,2.6,0.8,1.0,4.1,0.139,0.0,.598,3,2007
Antawn Jamison,WAS,70.0,70.0,38.0,0.45,0.364,0.492,0.51,0.736,8.0,1.9,1.1,0.5,19.8,18.4,0.545,19.0,12.1,8.8,1.5,1.0,22.8,5.2,1.6,1.3,2.2,6.8,0.123,0.0,.500,7,2007
Anthony Carter,DEN,2.0,0.0,18.5,0.375,0.0,0.5,0.375,0.0,1.5,5.5,0.0,0.5,3.0,3.3,0.375,9.0,4.6,41.4,0.0,1.9,16.2,-0.1,0.0,-7.6,-0.1,-0.1,-0.115,0.0,.549,6,2007
Anthony Johnson,DAL,67.0,17.0,19.4,0.414,0.342,0.433,0.45,0.754,1.5,3.0,0.5,0.0,5.3,9.9,0.48,7.3,4.7,24.9,1.4,0.2,15.8,0.4,0.8,-3.7,-0.5,1.2,0.045,0.0,.817,1,2007
