Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,MIN,28.0,0.0,3.5,0.413,0.273,0.542,0.478,0.0,0.4,0.5,0.0,0.0,1.6,9.7,0.469,10.2,5.5,21.5,0.5,0.0,23.2,-0.1,0.0,-4.8,-0.1,0.0,-0.012,0.0,.488,10,2014
Aaron Brooks,HOU,72.0,12.0,21.6,0.401,0.387,0.411,0.484,0.874,1.9,3.2,0.7,0.2,9.0,12.5,0.518,6.7,4.9,23.3,1.6,0.6,20.5,1.3,0.9,-1.0,0.4,2.2,0.067,0.0,.659,5,2014
Aaron Gray,TOR,37.0,6.0,9.6,0.443,0.0,0.45,0.443,0.55,3.0,0.6,0.3,0.2,1.8,7.8,0.466,22.3,17.7,9.1,1.4,1.8,12.5,-0.3,0.4,-4.7,-0.2,0.1,0.016,0.0,.585,3,2014
Adonis Thomas,PHI,6.0,1.0,6.2,0.429,0.2,0.556,0.464,1.0,0.5,0.5,0.0,0.0,2.3,7.3,0.485,9.2,4.6,13.4,0.0,0.0,18.5,0.0,0.0,-6.2,0.0,0.0,0.001,0.0,.232,14,2014
Al Harrington,WAS,34.0,0.0,15.0,0.396,0.34,0.449,0.478,0.771,2.4,0.8,0.4,0.0,6.6,9.7,0.506,15.0,9.1,8.7,1.4,0.0,22.7,-0.2,0.5,-4.2,-0.3,0.4,0.035,0.0,.537,6,2014
Al Horford,ATL,29.0,29.0,33.0,0.567,0.364,0.572,0.571,0.682,8.4,2.6,0.9,1.5,18.6,22.0,0.588,21.4,14.8,15.2,1.4,3.6,24.7,1.5,1.3,3.0,1.2,2.8,0.141,0.0,.463,8,2014
Al Jefferson,CHO,73.0,73.0,35.0,0.509,0.2,0.512,0.51,0.69,10.8,2.1,0.9,1.1,21.8,22.7,0.532,28.3,17.5,12.8,1.4,2.4,29.3,3.1,4.7,2.7,3.0,7.8,0.146,0.027,.524,7,2014
Al-Farouq Aminu,NOP,80.0,65.0,25.6,0.474,0.271,0.496,0.487,0.664,6.2,1.4,1.0,0.5,7.2,13.2,0.516,21.2,14.1,8.4,2.1,1.6,14.3,1.3,1.8,-0.6,0.7,3.1,0.072,0.0,.415,12,2014
Alan Anderson,BRK,78.0,26.0,22.7,0.4,0.339,0.464,0.487,0.78,2.2,1.0,0.6,0.1,7.2,9.5,0.525,9.1,5.9,7.3,1.4,0.5,15.9,0.8,0.9,-2.8,-0.4,1.7,0.047,0.0,.537,5,2014
Alec Burks,UTA,78.0,12.0,28.1,0.457,0.35,0.48,0.487,0.748,3.3,2.7,0.9,0.2,14.0,15.8,0.547,10.7,6.8,16.9,1.7,0.5,23.9,2.6,0.6,-0.8,0.7,3.2,0.07,0.0,.305,15,2014
Alex Len,PHO,42.0,3.0,8.6,0.423,0.0,0.423,0.423,0.645,2.4,0.1,0.1,0.4,2.0,7.3,0.469,18.6,15.3,1.6,0.6,3.8,14.3,-0.2,0.4,-6.6,-0.4,0.2,0.024,0.0,.585,9,2014
Alexey Shved,MIN,63.0,0.0,10.5,0.321,0.294,0.341,0.384,0.756,1.3,1.1,0.4,0.3,4.0,10.2,0.452,10.1,6.6,14.9,1.9,1.8,20.8,-0.4,0.7,-1.9,0.0,0.2,0.017,0.0,.488,10,2014
Alexis Ajinça,NOP,56.0,30.0,17.0,0.546,0.0,0.548,0.546,0.836,4.9,0.7,0.4,0.8,5.9,14.6,0.589,22.7,16.9,6.6,1.3,4.1,16.3,1.2,0.9,-2.6,-0.1,2.1,0.104,0.0,.415,12,2014
Allen Crabbe,POR,15.0,0.0,6.7,0.364,0.429,0.316,0.455,0.75,0.6,0.4,0.1,0.1,2.2,7.7,0.475,8.5,4.8,8.7,1.0,0.7,16.5,0.0,0.1,-6.1,-0.1,0.1,0.037,0.0,.659,4,2014
Alonzo Gee,CLE,65.0,24.0,15.7,0.415,0.328,0.444,0.456,0.705,2.3,0.7,0.6,0.2,4.0,8.6,0.491,12.8,8.2,6.9,2.0,1.2,13.4,-0.1,1.0,-3.1,-0.3,0.9,0.041,0.0,.402,10,2014
Amar'e Stoudemire,NYK,65.0,21.0,22.6,0.557,0.0,0.557,0.557,0.739,4.9,0.5,0.4,0.6,11.9,18.8,0.596,17.2,12.8,4.2,0.8,2.2,23.4,2.9,0.9,-1.6,0.2,3.8,0.124,0.0,.451,9,2014
Amir Johnson,TOR,77.0,72.0,28.8,0.562,0.303,0.593,0.578,0.636,6.6,1.5,0.7,1.1,10.4,15.4,0.592,17.6,13.3,8.7,1.3,3.2,16.4,3.2,3.1,0.7,1.5,6.3,0.136,0.0,.585,3,2014
Anderson Varejão,CLE,65.0,29.0,27.7,0.495,0.0,0.502,0.495,0.681,9.7,2.2,1.1,0.6,8.4,17.0,0.527,28.2,19.6,12.2,2.0,1.8,14.6,2.7,2.7,1.4,1.6,5.4,0.144,0.0,.402,10,2014
Andray Blatche,BRK,73.0,7.0,22.2,0.476,0.278,0.494,0.487,0.742,5.3,1.5,1.0,0.5,11.2,18.8,0.532,19.9,14.4,12.8,2.4,2.0,25.6,1.6,2.1,0.0,0.8,3.7,0.109,0.0,.537,5,2014
