Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Brooks,HOU,80.0,35.0,25.0,0.404,0.366,0.428,0.476,0.866,2.0,3.0,0.6,0.1,11.2,12.9,0.521,7.0,4.6,20.2,1.2,0.3,22.9,1.4,2.2,-0.9,0.6,3.6,0.086,0.0,.646,5,2009
Aaron Gray,CHI,56.0,18.0,12.8,0.485,0.0,0.488,0.485,0.576,3.9,0.8,0.2,0.3,3.5,11.5,0.508,21.7,17.6,9.6,1.0,1.8,14.5,0.5,0.8,-3.4,-0.2,1.3,0.086,0.0,.500,7,2009
Acie Law,ATL,55.0,1.0,10.2,0.374,0.31,0.391,0.406,0.817,1.1,1.6,0.2,0.1,2.9,10.6,0.49,10.9,6.1,23.4,1.1,0.4,16.3,0.3,0.4,-2.9,-0.1,0.7,0.062,0.0,.573,4,2009
Adam Morrison,LAL,52.0,5.0,13.7,0.359,0.333,0.378,0.43,0.739,1.5,0.8,0.2,0.1,4.0,5.7,0.448,10.6,6.9,9.4,0.7,0.5,17.5,-0.6,0.6,-4.8,-0.5,0.0,0.001,0.0,.793,1,2009
Adonal Foyle,ORL,10.0,0.0,6.2,0.636,0.0,0.636,0.636,0.5,2.6,0.1,0.0,0.8,1.7,19.7,0.623,30.1,23.6,2.6,0.0,9.3,12.4,0.1,0.2,4.0,0.1,0.3,0.212,0.0,.720,3,2009
Al Harrington,NYK,73.0,56.0,34.9,0.439,0.364,0.487,0.509,0.793,6.2,1.4,1.2,0.3,20.1,15.9,0.547,15.8,9.8,6.8,1.7,0.6,25.7,1.9,2.0,-0.2,1.2,3.9,0.073,0.0,.390,14,2009
Al Horford,ATL,67.0,67.0,33.5,0.525,0.0,0.526,0.525,0.727,9.3,2.4,0.8,1.4,11.5,17.0,0.565,25.0,16.3,11.9,1.3,3.3,16.4,3.3,3.5,1.7,2.1,6.8,0.145,0.0,.573,4,2009
Al Jefferson,MIN,50.0,50.0,36.7,0.497,0.0,0.499,0.497,0.738,11.0,1.6,0.8,1.7,23.1,23.1,0.532,24.9,17.5,8.8,1.1,3.5,28.9,2.9,2.0,2.6,2.1,4.9,0.128,0.0,.293,11,2009
Al Thornton,LAC,71.0,67.0,37.4,0.446,0.253,0.462,0.456,0.754,5.2,1.5,0.8,0.9,16.8,12.6,0.502,11.0,8.0,6.9,1.2,1.7,22.6,0.2,1.0,-4.1,-1.4,1.3,0.023,0.0,.232,14,2009
Alando Tucker,PHO,30.0,1.0,9.4,0.43,0.348,0.449,0.463,0.788,1.0,0.4,0.2,0.0,4.6,13.0,0.509,4.8,6.4,6.4,0.9,0.3,23.3,0.2,0.0,-4.2,-0.2,0.2,0.039,0.0,.561,9,2009
Alex Acker,LAC,25.0,0.0,8.0,0.395,0.35,0.411,0.441,0.5,1.0,0.5,0.2,0.2,2.9,10.4,0.448,9.6,7.0,10.2,1.3,1.5,20.1,-0.1,0.1,-3.6,-0.1,0.0,-0.011,0.0,.232,14,2009
Alexis Ajinça,CHO,31.0,4.0,5.9,0.362,0.0,0.373,0.362,0.714,1.0,0.1,0.2,0.2,2.3,7.0,0.43,14.2,10.2,2.8,2.1,2.7,24.2,-0.3,0.3,-7.5,-0.3,-0.1,-0.018,0.0,.427,10,2009
Allen Iverson,DET,57.0,53.0,36.7,0.417,0.283,0.435,0.434,0.781,3.0,5.0,1.5,0.1,17.5,15.8,0.504,8.2,4.9,23.1,2.3,0.2,25.7,0.9,1.9,0.2,1.1,2.9,0.066,0.0,.476,8,2009
Amar'e Stoudemire,PHO,53.0,53.0,36.8,0.539,0.429,0.54,0.541,0.835,8.1,2.0,0.9,1.1,21.4,20.3,0.617,18.1,12.9,8.3,1.3,2.1,24.2,4.6,1.4,1.7,1.8,6.1,0.149,0.0,.561,9,2009
Amir Johnson,DET,62.0,24.0,14.7,0.595,0.0,0.595,0.595,0.657,3.7,0.3,0.3,1.0,3.5,13.5,0.608,17.2,15.1,3.4,1.2,5.1,11.1,1.4,1.3,-1.4,0.1,2.7,0.142,0.0,.476,8,2009
Anderson Varejão,CLE,81.0,42.0,28.5,0.536,0.0,0.538,0.536,0.616,7.2,1.0,0.9,0.8,8.6,14.6,0.565,20.6,15.0,5.4,1.8,2.3,14.2,3.3,4.7,0.6,1.5,8.0,0.166,0.0,.805,1,2009
Andray Blatche,WAS,71.0,36.0,24.0,0.471,0.238,0.479,0.475,0.704,5.3,1.7,0.7,1.0,10.0,15.0,0.508,17.9,13.0,11.8,1.6,3.5,21.9,0.2,1.2,-2.0,0.0,1.4,0.039,0.0,.232,15,2009
Andre Brown,CHO,4.0,0.0,10.2,0.143,0.0,0.143,0.143,1.0,3.0,0.2,0.2,0.0,1.0,-1.5,0.254,15.0,18.1,3.5,1.3,0.0,14.8,-0.2,0.0,-14.2,-0.1,-0.1,-0.122,0.0,.427,10,2009
Andre Iguodala,PHI,82.0,82.0,39.9,0.473,0.307,0.521,0.507,0.724,5.7,5.3,1.6,0.4,18.8,18.4,0.56,14.0,8.6,22.4,2.1,0.9,22.3,5.6,3.5,3.2,4.3,9.2,0.134,0.0,.500,6,2009
Andre Miller,PHI,82.0,82.0,36.3,0.473,0.283,0.483,0.48,0.826,4.5,6.5,1.3,0.2,16.3,18.6,0.548,9.9,7.4,30.2,2.0,0.4,21.8,6.2,2.5,2.4,3.3,8.8,0.141,0.0,.500,6,2009
Andrea Bargnani,TOR,78.0,59.0,31.4,0.45,0.409,0.468,0.512,0.831,5.3,1.2,0.4,1.2,15.4,14.6,0.559,16.4,10.0,6.4,0.7,3.1,22.7,1.8,2.0,-0.8,0.7,3.9,0.076,0.0,.402,13,2009
Andrei Kirilenko,UTA,67.0,10.0,27.3,0.449,0.274,0.475,0.467,0.785,4.8,2.6,1.2,1.1,11.6,16.8,0.549,15.3,10.4,14.7,2.3,3.3,20.3,2.0,2.6,2.6,2.2,4.6,0.122,0.0,.585,8,2009
Andrew Bogut,MIL,36.0,33.0,31.2,0.577,0.0,0.577,0.577,0.571,10.2,2.0,0.6,1.0,11.7,16.2,0.586,27.7,19.4,10.7,1.1,2.7,17.8,1.0,1.6,1.3,1.0,2.6,0.112,0.0,.415,12,2009
Andrew Bynum,LAL,50.0,50.0,28.9,0.56,0.0,0.56,0.56,0.707,8.0,1.4,0.4,1.8,14.3,20.0,0.598,20.1,15.6,7.7,0.6,4.8,20.7,3.2,2.3,1.1,1.1,5.5,0.184,0.0,.793,1,2009
Andris Biedriņš,GSW,62.0,58.0,30.0,0.578,0.0,0.579,0.578,0.551,11.2,2.0,1.0,1.5,11.9,19.1,0.585,27.4,20.2,10.0,1.7,3.6,16.9,3.3,2.1,1.3,1.5,5.4,0.139,0.0,.354,10,2009
Andrés Nocioni,SAC,76.0,18.0,26.2,0.427,0.399,0.449,0.515,0.792,4.8,1.3,0.5,0.4,11.4,12.2,0.555,17.8,10.5,8.3,1.0,1.2,20.1,1.4,1.4,-1.9,0.0,2.8,0.068,0.0,.207,15,2009
Antawn Jamison,WAS,81.0,81.0,38.2,0.468,0.351,0.501,0.507,0.754,8.9,1.9,1.2,0.3,22.2,20.6,0.549,20.5,13.7,9.1,1.6,0.7,25.9,6.6,1.6,1.6,2.8,8.1,0.126,0.0,.232,15,2009
Anthony Carter,DEN,78.0,5.0,22.9,0.433,0.239,0.49,0.46,0.731,2.6,4.7,1.2,0.2,5.3,10.8,0.49,10.4,6.7,29.9,2.7,0.6,14.3,-0.3,2.1,-1.3,0.3,1.8,0.047,0.0,.659,2,2009
Anthony Johnson,ORL,80.0,12.0,18.5,0.404,0.391,0.411,0.472,0.753,1.8,2.5,0.6,0.1,5.3,10.3,0.505,8.8,5.6,21.2,1.6,0.2,15.5,0.7,2.1,-0.8,0.4,2.8,0.091,0.0,.720,3,2009
Anthony Morrow,GSW,67.0,17.0,22.6,0.478,0.467,0.483,0.558,0.87,3.0,1.2,0.5,0.2,10.1,14.7,0.588,8.7,7.1,8.2,1.2,0.5,17.7,3.0,0.0,-0.2,0.7,3.0,0.096,0.0,.354,10,2009
Anthony Parker,TOR,80.0,71.0,33.0,0.426,0.39,0.442,0.488,0.834,4.0,3.4,1.2,0.2,10.7,12.1,0.524,12.0,7.1,15.7,2.0,0.4,16.3,1.4,2.0,-0.7,0.8,3.4,0.063,0.0,.402,13,2009
Anthony Randolph,GSW,63.0,22.0,17.9,0.462,0.0,0.466,0.462,0.716,5.8,0.8,0.7,1.2,7.9,16.9,0.506,22.6,17.5,6.8,1.8,4.5,21.7,0.4,1.2,-2.3,-0.1,1.6,0.069,0.0,.354,10,2009
Anthony Roberson,NYK,29.0,0.0,9.5,0.367,0.321,0.462,0.475,1.0,0.8,0.7,0.3,0.0,4.1,11.4,0.487,6.6,4.4,11.3,1.8,0.3,20.6,0.1,0.1,-1.4,0.0,0.2,0.041,0.0,.390,14,2009
Anthony Tolliver,SAS,19.0,0.0,10.9,0.292,0.22,0.417,0.362,0.5,2.2,0.9,0.3,0.1,2.7,7.6,0.375,16.4,11.7,12.1,1.3,0.4,17.8,-0.3,0.3,-3.9,-0.1,0.0,0.01,0.0,.659,4,2009
Antoine Wright,DAL,65.0,53.0,23.9,0.415,0.302,0.475,0.468,0.747,2.1,1.2,0.7,0.4,7.3,8.6,0.501,7.7,5.0,7.4,1.6,1.3,15.6,0.3,1.2,-3.5,-0.6,1.4,0.044,0.0,.610,6,2009
Antonio Daniels,WAS,74.0,9.0,13.8,0.419,0.367,0.438,0.466,0.8,1.0,2.4,0.4,0.0,4.1,12.1,0.536,8.5,4.5,26.9,1.4,0.1,15.9,0.9,0.6,-2.6,-0.2,1.5,0.068,0.0,.232,15,2009
Antonio McDyess,DET,62.0,30.0,30.1,0.51,0.0,0.51,0.51,0.698,9.8,1.3,0.7,0.8,9.6,16.6,0.529,27.2,19.3,7.3,1.2,2.1,15.7,2.8,2.8,0.5,1.2,5.6,0.144,0.0,.476,8,2009
Arron Afflalo,DET,74.0,8.0,16.7,0.437,0.402,0.456,0.508,0.817,1.8,0.6,0.4,0.2,4.9,8.9,0.548,10.1,6.4,5.5,1.3,0.8,14.5,0.8,1.0,-2.6,-0.2,1.8,0.069,0.0,.476,8,2009
Austin Croshere,SAS,14.0,0.0,7.1,0.359,0.333,0.375,0.423,0.583,2.4,0.6,0.1,0.1,2.9,14.2,0.452,28.1,20.1,14.4,0.5,0.8,23.0,0.0,0.1,-0.2,0.0,0.1,0.052,0.0,.659,4,2009
Baron Davis,LAC,65.0,60.0,34.6,0.37,0.302,0.406,0.422,0.757,3.7,7.7,1.7,0.5,14.9,14.5,0.46,10.2,6.1,38.1,2.5,1.2,25.2,-0.9,1.5,-0.8,0.7,0.6,0.013,0.0,.232,14,2009
Ben Gordon,CHI,82.0,76.0,36.6,0.455,0.41,0.476,0.521,0.864,3.5,3.4,0.9,0.3,20.7,17.0,0.573,8.8,5.4,15.9,1.2,0.5,25.0,5.2,1.7,1.1,2.3,6.9,0.11,0.0,.500,7,2009
Ben Wallace,CLE,56.0,53.0,23.5,0.445,0.0,0.445,0.445,0.422,6.5,0.8,0.9,1.3,2.9,12.2,0.45,19.7,16.4,4.7,2.0,4.5,7.8,0.8,2.9,1.6,1.2,3.8,0.138,0.0,.805,1,2009
Beno Udrih,SAC,73.0,72.0,31.1,0.461,0.31,0.491,0.486,0.82,3.0,4.7,1.1,0.2,11.0,12.3,0.525,9.0,5.7,24.7,1.8,0.4,18.2,1.0,0.2,-3.1,-0.6,1.2,0.026,0.0,.207,15,2009
Blake Ahearn,SAS,3.0,0.0,6.3,0.333,0.5,0.0,0.5,1.0,0.3,0.7,0.3,0.0,2.7,12.9,0.581,6.2,3.1,16.0,2.9,0.0,20.1,0.0,0.0,-0.9,0.0,0.1,0.149,0.0,.659,4,2009
Bobby Brown,SAC,68.0,2.0,13.7,0.392,0.346,0.417,0.454,0.791,0.8,1.7,0.3,0.0,5.3,8.9,0.476,4.8,3.3,20.9,1.2,0.2,21.3,-0.5,-0.1,-5.0,-0.7,-0.6,-0.029,0.0,.207,15,2009
Bobby Jackson,SAC,71.0,10.0,20.9,0.398,0.305,0.462,0.46,0.851,2.8,2.0,0.9,0.1,7.5,12.4,0.502,12.5,7.9,15.5,2.1,0.2,18.0,0.8,0.4,-1.8,0.1,1.2,0.038,0.0,.207,15,2009
Bobby Simmons,BRK,71.0,44.0,24.4,0.449,0.447,0.453,0.582,0.741,3.9,1.3,0.7,0.1,7.8,12.0,0.596,14.3,9.5,8.5,1.5,0.5,14.3,2.4,1.0,0.0,0.8,3.4,0.095,0.0,.415,11,2009
Boris Diaw,PHO,81.0,59.0,34.0,0.507,0.414,0.531,0.549,0.687,5.3,4.1,0.8,0.7,13.2,14.4,0.565,13.8,9.6,21.2,1.2,1.6,19.7,1.9,2.8,1.2,2.2,4.7,0.082,0.0,.561,9,2009
Brad Miller,SAC,70.0,43.0,30.0,0.476,0.411,0.482,0.494,0.824,7.8,3.3,0.7,0.5,11.9,16.7,0.566,21.9,15.0,17.9,1.3,1.3,18.4,3.6,1.5,1.1,1.6,5.1,0.117,0.0,.207,15,2009
Brandan Wright,GSW,39.0,23.0,17.6,0.528,0.0,0.537,0.528,0.741,4.0,0.5,0.6,0.9,8.3,18.7,0.57,15.0,12.4,4.9,1.6,3.7,19.0,1.4,0.4,0.1,0.4,1.9,0.131,0.0,.354,10,2009
Brandon Bass,DAL,81.0,0.0,19.4,0.496,0.0,0.502,0.496,0.867,4.5,0.5,0.3,0.7,8.5,16.4,0.571,17.2,13.4,4.3,0.9,2.6,20.0,2.5,1.6,-1.5,0.2,4.1,0.124,0.0,.610,6,2009
Brandon Roy,POR,78.0,78.0,37.2,0.48,0.377,0.501,0.512,0.824,4.7,5.1,1.1,0.3,22.6,24.0,0.573,11.6,7.9,25.4,1.7,0.6,27.4,10.9,2.6,6.2,6.0,13.5,0.223,0.006,.659,3,2009
Brandon Rush,IND,75.0,19.0,24.0,0.423,0.373,0.451,0.49,0.697,3.1,0.9,0.5,0.5,8.1,9.0,0.505,12.3,7.1,5.4,1.0,1.5,16.4,-0.4,1.3,-2.8,-0.3,0.9,0.024,0.0,.439,9,2009
Brendan Haywood,WAS,6.0,5.0,29.2,0.48,0.0,0.48,0.48,0.476,7.3,1.3,0.7,2.5,9.7,14.9,0.49,21.4,14.8,7.3,1.2,7.0,17.7,0.0,0.2,-2.0,0.0,0.2,0.041,0.0,.232,15,2009
Brent Barry,HOU,56.0,1.0,15.3,0.407,0.374,0.512,0.549,0.95,1.7,1.4,0.4,0.1,3.7,9.2,0.575,10.1,6.4,13.7,1.5,0.3,12.4,0.4,1.1,0.1,0.5,1.5,0.082,0.0,.646,5,2009
Brevin Knight,UTA,74.0,0.0,12.7,0.349,0.0,0.361,0.349,0.75,1.2,2.6,0.9,0.1,2.4,9.5,0.414,9.5,5.6,28.1,3.7,0.3,13.5,-0.6,1.3,-1.9,0.0,0.7,0.035,0.0,.585,8,2009
Brian Cardinal,MIN,64.0,4.0,14.2,0.385,0.326,0.455,0.473,0.857,2.2,1.2,0.6,0.2,3.0,8.1,0.515,13.8,9.1,12.3,2.1,1.1,11.5,0.1,0.7,-2.4,-0.1,0.9,0.045,0.0,.293,11,2009
Brian Cook,ORL,30.0,0.0,5.7,0.368,0.433,0.326,0.454,0.833,1.1,0.2,0.1,0.1,2.5,7.6,0.47,16.1,10.6,5.1,0.9,1.3,24.8,-0.3,0.3,-6.2,-0.2,0.0,-0.001,0.0,.720,3,2009
Brian Scalabrine,BOS,39.0,8.0,12.9,0.421,0.393,0.453,0.526,0.889,1.3,0.5,0.2,0.3,3.5,7.4,0.558,9.9,6.0,5.3,0.7,1.6,12.4,0.4,0.7,-1.5,0.1,1.1,0.105,0.0,.756,2,2009
Brian Skinner,LAC,51.0,21.0,16.5,0.449,0.0,0.453,0.449,0.638,4.0,0.5,0.3,1.0,4.2,10.6,0.474,18.5,13.9,5.1,1.1,4.6,14.5,-0.3,0.7,-4.4,-0.5,0.4,0.024,0.0,.232,14,2009
Brook Lopez,BRK,82.0,75.0,30.5,0.531,0.0,0.532,0.531,0.793,8.1,1.0,0.5,1.8,13.0,17.9,0.568,21.2,15.8,6.2,0.9,4.9,20.3,3.2,2.7,-0.6,0.9,5.8,0.112,0.0,.415,11,2009
