Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron McKie,PHI,75.0,41.0,28.2,0.459,0.436,0.469,0.524,0.757,3.4,2.6,1.1,0.3,9.2,13.9,0.55,11.5,7.1,16.8,2.2,0.9,16.2,2.5,2.3,1.3,1.8,4.8,0.108,0.0,.402,10,2004
Aaron Williams,NJN,72.0,7.0,18.6,0.503,0.333,0.504,0.504,0.677,4.1,1.1,0.5,0.6,6.2,13.2,0.549,17.0,13.0,10.4,1.4,2.7,17.5,1.1,2.3,-1.6,0.1,3.4,0.122,0.0,.573,3,2004
Adonal Foyle,GSW,44.0,8.0,13.0,0.454,0.0,0.454,0.454,0.543,3.8,0.4,0.1,1.0,3.1,13.0,0.471,22.3,16.4,4.8,0.6,5.8,13.4,0.3,0.8,-1.1,0.1,1.1,0.093,0.0,.451,11,2004
Adrian Griffin,HOU,19.0,1.0,7.0,0.278,0.5,0.25,0.306,0.0,1.0,0.5,0.4,0.1,0.6,4.5,0.278,15.2,8.4,11.6,2.9,1.2,8.2,-0.2,0.2,-1.9,0.0,0.1,0.031,0.0,.549,7,2004
Al Harrington,IND,79.0,15.0,30.9,0.463,0.273,0.481,0.475,0.734,6.4,1.7,1.0,0.3,13.3,14.9,0.514,16.9,12.3,10.3,1.8,0.7,22.9,1.8,4.1,-0.7,0.8,5.9,0.116,0.0,.744,1,2004
Alan Henderson,ATL,6.0,0.0,11.3,0.476,0.0,0.476,0.476,0.667,3.5,0.3,0.2,0.3,4.0,18.2,0.508,16.5,17.5,5.2,0.8,2.2,17.8,0.1,0.0,1.0,0.1,0.2,0.109,0.0,.341,12,2004
Alex Garcia,SAS,2.0,0.0,6.5,0.143,0.0,0.143,0.143,0.5,0.0,0.0,1.0,0.0,1.5,-4.7,0.19,0.0,0.0,0.0,8.3,0.0,31.6,-0.1,0.0,-13.6,0.0,-0.1,-0.319,0.0,.695,2,2004
Allan Houston,NYK,50.0,50.0,36.0,0.435,0.431,0.437,0.491,0.913,2.4,2.0,0.8,0.0,18.5,14.8,0.539,6.4,3.9,10.3,1.1,0.1,24.7,2.5,0.6,-0.5,0.7,3.1,0.083,0.0,.476,7,2004
Allen Iverson,PHI,48.0,47.0,42.5,0.387,0.286,0.408,0.412,0.745,3.7,6.8,2.4,0.1,26.4,19.3,0.478,8.2,5.1,34.4,3.1,0.2,35.3,0.5,2.3,2.1,2.1,2.8,0.066,0.0,.402,10,2004
Alonzo Mourning,NJN,12.0,0.0,17.9,0.465,0.0,0.465,0.465,0.882,2.2,0.7,0.2,0.5,8.0,13.3,0.558,10.4,7.4,6.6,0.5,2.2,20.9,0.4,0.3,-1.4,0.0,0.6,0.14,0.0,.573,3,2004
