Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Gerald Wallace,BOS,32.0,0.0,8.9,0.412,0.333,0.419,0.426,0.4,1.8,0.3,0.5,0.1,1.1,6.2,0.431,15.5,10.9,5.1,2.6,1.1,9.0,-0.3,0.4,-3.1,-0.1,0.1,0.014,0.0,.488,7,2015
Giannis Antetokounmpo,MIL,81.0,71.0,31.4,0.491,0.159,0.511,0.496,0.741,6.7,2.6,0.9,1.0,12.7,14.8,0.552,19.7,12.2,13.1,1.5,2.8,19.6,2.2,4.0,0.0,1.2,6.2,0.117,0.0,.500,6,2015
Gigi Datome,DET,21.0,1.0,10.0,0.483,0.45,0.51,0.584,1.0,1.4,0.4,0.1,0.3,5.0,15.1,0.587,13.9,7.6,7.6,0.5,2.6,20.7,0.2,0.2,1.2,0.2,0.4,0.095,0.0,.390,12,2015
Glen Davis,LAC,74.0,0.0,12.2,0.459,0.0,0.466,0.459,0.632,2.3,0.5,0.6,0.3,4.0,10.8,0.495,15.4,10.5,6.3,2.3,1.9,16.7,0.2,1.1,-3.1,-0.3,1.4,0.072,0.0,.683,2,2015
Glen Rice Jr.,WAS,5.0,0.0,8.6,0.2,0.143,0.25,0.233,0.667,0.8,0.4,0.0,0.0,2.2,-3.6,0.312,5.1,5.2,6.5,0.0,0.0,20.7,-0.1,0.0,-15.9,-0.1,-0.1,-0.121,0.0,.561,5,2015
Glenn Robinson III,PHI,35.0,1.0,7.5,0.388,0.263,0.438,0.425,0.667,1.1,0.3,0.2,0.0,2.1,8.5,0.471,10.6,8.3,7.0,1.2,0.3,14.9,0.0,0.1,-5.4,-0.2,0.1,0.012,0.0,.220,14,2015
Goran Dragić,PHO,78.0,78.0,33.8,0.501,0.347,0.555,0.546,0.774,3.5,4.5,1.0,0.2,16.3,17.4,0.577,8.2,5.9,22.8,1.5,0.5,21.8,5.4,1.4,0.8,1.8,6.8,0.123,0.0,.476,10,2015
Gordon Hayward,UTA,76.0,76.0,34.4,0.445,0.364,0.481,0.5,0.812,4.9,4.1,1.4,0.4,19.2,20.2,0.567,14.0,8.2,21.7,2.2,0.9,26.2,5.8,2.9,4.0,4.0,8.7,0.159,0.0,.463,11,2015
Gorgui Dieng,MIN,73.0,49.0,30.0,0.506,0.167,0.51,0.507,0.783,8.3,2.0,1.0,1.7,9.7,17.2,0.573,20.8,15.9,10.5,1.6,4.5,15.0,3.4,1.5,0.2,1.2,4.9,0.108,0.0,.195,15,2015
Grant Jerrett,UTA,8.0,0.0,6.4,0.269,0.067,0.545,0.288,1.0,1.1,0.4,0.2,0.2,2.0,1.5,0.303,15.2,9.9,9.6,2.1,3.1,25.4,-0.2,0.1,-10.8,-0.1,-0.1,-0.128,0.0,.463,11,2015
