Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Gordon,ORL,62.0,62.0,32.5,0.437,0.308,0.494,0.484,0.674,7.7,3.7,0.8,0.6,14.4,15.1,0.516,20.3,12.7,17.4,1.2,1.7,20.7,1.4,2.3,0.0,1.0,3.7,0.087,0.0,0.452,8,2020
Aaron Holiday,IND,66.0,33.0,24.5,0.414,0.394,0.427,0.491,0.851,2.4,3.4,0.8,0.2,9.5,11.6,0.521,9.0,5.3,19.1,1.7,0.9,18.7,0.4,1.7,-1.6,0.2,2.1,0.063,0.0,0.616,4,2020
Abdel Nader,OKC,55.0,6.0,15.8,0.468,0.375,0.556,0.559,0.773,1.8,0.7,0.4,0.4,6.3,11.3,0.591,10.6,6.4,6.4,1.3,2.0,17.0,0.5,0.9,-1.0,0.2,1.3,0.074,0.0,0.611,5,2020
Adam Mokoka,CHI,11.0,0.0,10.2,0.429,0.4,0.462,0.536,0.5,0.9,0.4,0.4,0.0,2.9,8.2,0.538,3.1,4.9,5.0,1.7,0.0,12.1,0.1,0.1,-4.1,-0.1,0.2,0.073,0.0,0.338,11,2020
Admiral Schofield,WAS,33.0,2.0,11.2,0.38,0.311,0.516,0.484,0.667,1.4,0.5,0.2,0.1,3.0,6.1,0.502,12.4,7.0,5.3,1.0,0.9,11.9,0.1,0.1,-5.5,-0.3,0.1,0.017,0.0,0.347,10,2020
Al Horford,PHI,67.0,61.0,30.2,0.45,0.35,0.516,0.52,0.763,6.8,4.0,0.8,0.9,11.9,15.7,0.536,19.3,12.4,19.2,1.2,2.6,17.5,2.8,2.6,2.2,2.2,5.4,0.128,0.0,0.589,6,2020
Al-Farouq Aminu,ORL,18.0,2.0,21.1,0.291,0.25,0.32,0.343,0.655,4.8,1.2,1.0,0.4,4.3,7.6,0.395,18.4,12.3,7.4,2.3,1.9,13.2,-0.4,0.5,-3.0,-0.1,0.1,0.014,0.0,0.452,8,2020
Alec Burks,PHI,66.0,19.0,26.6,0.418,0.385,0.439,0.493,0.887,4.3,2.9,0.9,0.3,15.0,16.7,0.561,14.9,8.7,17.2,1.7,0.9,23.8,2.5,1.2,0.5,1.1,3.7,0.101,0.0,0.589,6,2020
Alen Smailagić,GSW,14.0,0.0,9.9,0.5,0.231,0.63,0.538,0.842,1.9,0.9,0.2,0.3,4.2,14.5,0.61,13.7,10.5,14.3,1.0,2.6,18.2,0.2,0.1,-2.2,0.0,0.2,0.081,0.0,0.231,15,2020
Alex Caruso,LAL,64.0,2.0,18.4,0.412,0.333,0.468,0.481,0.734,1.9,1.9,1.1,0.3,5.5,10.8,0.525,9.8,5.7,13.6,2.8,1.4,13.8,0.5,1.8,-0.2,0.5,2.3,0.095,0.0,0.732,1,2020
