,Player,MPPG,FGPG,FGAPG,FG%PG,3PPG,3PAPG,3P%PG,2PPG,2PAPG,2P%PG,eFG%PG,FTPG,FTAPG,FT%PG,ORBPG,DRBPG,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PTSPG,First,Pts Won,Pts Max,Share,G_x,MP_x,PTS_x,TRB_x,AST_x,STL_x,BLK_x,FG%_x,3P%_x,FT%_x,WS_x,WS/48_x,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%_y,2P,2PA,2P%,eFG%,FT,FTA,FT%_y,ORB,DRB,TRB_y,AST_y,STL_y,BLK_y,TOV,PF,PTS_y,Trp-Dbl,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_y,WS/48_y,OBPM,DBPM,BPM,VORP,First Pts Share,Year
0,Russell Westbrook,34.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,69.0,888.0,1010.0,0.879,81.0,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,81.0,81.0,2802.0,824.0,1941.0,0.425,200.0,583.0,0.343,624.0,1358.0,0.459,0.476,710.0,840.0,0.845,137.0,727.0,864.0,840.0,132.0,31.0,438.0,190.0,2558.0,42.0,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3,0.06831683168316832,2017
1,James Harden,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,22.0,753.0,1010.0,0.746,81.0,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245,81.0,81.0,2947.0,674.0,1533.0,0.44,262.0,756.0,0.347,412.0,777.0,0.53,0.525,746.0,881.0,0.847,95.0,564.0,659.0,907.0,121.0,38.0,464.0,215.0,2356.0,22.0,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,0.245,7.5,1.2,8.7,8.0,0.02178217821782178,2017
2,Isaiah Thomas,33.8,9.0,19.4,0.463,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,0.0,81.0,1010.0,0.08,76.0,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,76.0,76.0,2569.0,682.0,1473.0,0.463,245.0,646.0,0.379,437.0,827.0,0.528,0.546,590.0,649.0,0.909,43.0,162.0,205.0,448.0,70.0,13.0,210.0,167.0,2199.0,0.0,26.5,0.625,0.439,0.441,1.9,7.0,4.4,32.5,1.4,0.4,10.7,34.0,10.9,1.6,12.5,0.234,7.8,-1.1,6.7,5.6,0.0,2017
3,Anthony Davis,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,0.0,2.0,1010.0,0.002,75.0,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195,75.0,75.0,2708.0,770.0,1526.0,0.505,40.0,134.0,0.299,730.0,1392.0,0.524,0.518,519.0,647.0,0.802,172.0,712.0,884.0,157.0,94.0,167.0,181.0,168.0,2099.0,0.0,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11.0,0.195,4.4,1.4,5.9,5.4,0.0,2017
4,DeMar DeRozan,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,0.0,1.0,1010.0,0.001,74.0,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,74.0,74.0,2620.0,721.0,1545.0,0.467,33.0,124.0,0.266,688.0,1421.0,0.484,0.477,545.0,647.0,0.842,70.0,316.0,386.0,290.0,78.0,13.0,180.0,134.0,2020.0,0.0,24.0,0.552,0.08,0.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,6.7,2.4,9.0,0.166,4.1,-1.0,3.0,3.3,0.0,2017
5,DeMarcus Cousins,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,2465.0,647.0,1432.0,0.452,131.0,363.0,0.361,516.0,1069.0,0.483,0.498,517.0,670.0,0.772,152.0,642.0,794.0,332.0,100.0,93.0,269.0,278.0,1942.0,2.0,25.8,0.562,0.253,0.468,7.0,29.2,18.2,25.8,2.0,3.4,13.5,36.5,3.9,3.8,7.6,0.149,5.0,1.8,6.8,5.5,0.0,2017
6,Damian Lillard,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,2694.0,661.0,1488.0,0.444,214.0,579.0,0.37,447.0,909.0,0.492,0.516,488.0,545.0,0.895,46.0,322.0,368.0,440.0,68.0,20.0,197.0,152.0,2024.0,0.0,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5.0,4.8,0.0,2017
7,LeBron James,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,1.0,333.0,1010.0,0.33,74.0,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,74.0,74.0,2794.0,736.0,1344.0,0.548,124.0,342.0,0.363,612.0,1002.0,0.611,0.594,358.0,531.0,0.674,97.0,542.0,639.0,646.0,92.0,44.0,303.0,134.0,1954.0,13.0,27.0,0.619,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,0.221,6.4,1.2,7.6,6.7,0.0009900990099009901,2017
8,Kawhi Leonard,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,9.0,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,74.0,74.0,2474.0,636.0,1312.0,0.485,147.0,387.0,0.38,489.0,925.0,0.529,0.541,469.0,533.0,0.88,80.0,350.0,430.0,260.0,133.0,55.0,154.0,122.0,1888.0,0.0,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,0.264,7.1,2.2,9.4,7.1,0.00891089108910891,2017
9,Stephen Curry,33.4,8.5,18.3,0.468,4.1,10.0,0.411,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,0.0,52.0,1010.0,0.051,79.0,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,79.0,79.0,2638.0,675.0,1443.0,0.468,324.0,789.0,0.411,351.0,654.0,0.537,0.58,325.0,362.0,0.898,61.0,292.0,353.0,524.0,142.0,17.0,239.0,183.0,1999.0,0.0,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,8.7,3.9,12.6,0.229,6.7,0.3,6.9,5.9,0.0,2017
10,Kyrie Irving,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,2525.0,671.0,1420.0,0.473,177.0,441.0,0.401,494.0,979.0,0.505,0.535,297.0,328.0,0.905,52.0,178.0,230.0,418.0,83.0,24.0,180.0,157.0,1816.0,0.0,23.0,0.58,0.311,0.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.7,-1.3,3.4,3.4,0.0,2017
11,Kevin Durant,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,0.0,2.0,1010.0,0.002,62.0,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278,62.0,62.0,2070.0,551.0,1026.0,0.537,117.0,312.0,0.375,434.0,714.0,0.608,0.594,336.0,384.0,0.875,39.0,474.0,513.0,300.0,66.0,99.0,138.0,117.0,1555.0,1.0,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8.0,4.0,12.0,0.278,6.7,2.2,8.9,5.7,0.0,2017
12,Karl-Anthony Towns,37.0,9.8,18.0,0.542,1.2,3.4,0.367,8.5,14.7,0.582,0.576,4.3,5.2,0.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,3030.0,802.0,1480.0,0.542,101.0,275.0,0.367,701.0,1205.0,0.582,0.576,356.0,428.0,0.832,296.0,711.0,1007.0,220.0,56.0,103.0,212.0,241.0,2061.0,1.0,25.9,0.618,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,9.9,2.8,12.7,0.201,5.5,-0.7,4.7,5.2,0.0,2017
13,Jimmy Butler,37.0,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,75.0,2809.0,570.0,1252.0,0.455,91.0,248.0,0.367,479.0,1004.0,0.477,0.492,585.0,676.0,0.865,129.0,341.0,470.0,417.0,143.0,32.0,159.0,112.0,1816.0,2.0,25.1,0.586,0.198,0.54,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.236,5.6,1.7,7.3,6.6,0.0,2017
14,Paul George,35.9,8.3,18.0,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,2689.0,622.0,1348.0,0.461,195.0,496.0,0.393,427.0,852.0,0.501,0.534,336.0,374.0,0.898,58.0,434.0,492.0,251.0,119.0,27.0,220.0,206.0,1775.0,0.0,20.2,0.587,0.368,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,3.9,3.1,7.1,0.126,3.0,0.1,3.1,3.4,0.0,2017
15,Andrew Wiggins,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,3048.0,709.0,1570.0,0.452,103.0,289.0,0.356,606.0,1281.0,0.473,0.484,412.0,542.0,0.76,102.0,226.0,328.0,189.0,82.0,30.0,187.0,183.0,1933.0,0.0,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,0.0,2017
16,Kemba Walker,34.7,8.1,18.3,0.444,3.0,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,2739.0,643.0,1449.0,0.444,240.0,602.0,0.399,403.0,847.0,0.476,0.527,304.0,359.0,0.847,45.0,263.0,308.0,434.0,85.0,22.0,168.0,119.0,1830.0,0.0,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2,0.0,2017
17,Bradley Beal,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10.0,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,2684.0,637.0,1322.0,0.482,223.0,552.0,0.404,414.0,770.0,0.538,0.566,282.0,342.0,0.825,53.0,187.0,240.0,267.0,83.0,21.0,156.0,169.0,1779.0,0.0,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.9,1.6,8.5,0.152,4.2,-1.0,3.3,3.5,0.0,2017
18,John Wall,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,0.0,7.0,1010.0,0.007,78.0,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,78.0,78.0,2836.0,647.0,1435.0,0.451,89.0,272.0,0.327,558.0,1163.0,0.48,0.482,422.0,527.0,0.801,59.0,267.0,326.0,831.0,157.0,49.0,322.0,151.0,1805.0,0.0,23.2,0.541,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3.0,8.8,0.149,4.6,0.1,4.7,4.8,0.0,2017
19,CJ McCollum,35.0,8.7,18.0,0.48,2.3,5.5,0.421,6.3,12.5,0.506,0.544,3.4,3.7,0.912,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,23.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,2796.0,692.0,1441.0,0.48,185.0,439.0,0.421,507.0,1002.0,0.506,0.544,268.0,294.0,0.912,60.0,229.0,289.0,285.0,72.0,42.0,172.0,202.0,1837.0,0.0,19.9,0.585,0.305,0.204,2.4,9.1,5.7,18.0,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.4,-1.4,2.0,2.8,0.0,2017
20,Giannis Antetokounmpo,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,0.0,7.0,1010.0,0.007,80.0,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,80.0,80.0,2845.0,656.0,1259.0,0.521,49.0,180.0,0.272,607.0,1079.0,0.563,0.541,471.0,612.0,0.77,142.0,558.0,700.0,434.0,131.0,151.0,234.0,246.0,1832.0,3.0,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,0.0,2017
21,Carmelo Anthony,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,2538.0,602.0,1389.0,0.433,151.0,421.0,0.359,451.0,968.0,0.466,0.488,304.0,365.0,0.833,62.0,376.0,438.0,213.0,60.0,34.0,153.0,198.0,1659.0,0.0,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,0.0,2017
22,Kyle Lowry,37.4,7.1,15.3,0.464,3.2,7.8,0.412,3.9,7.5,0.518,0.569,5.0,6.1,0.819,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,2244.0,426.0,918.0,0.464,193.0,468.0,0.412,233.0,450.0,0.518,0.569,299.0,365.0,0.819,48.0,238.0,286.0,417.0,88.0,19.0,173.0,170.0,1344.0,1.0,22.9,0.623,0.51,0.398,2.4,12.0,7.2,29.9,2.0,0.7,13.8,24.9,7.8,2.3,10.1,0.216,5.8,0.4,6.1,4.6,0.0,2017
23,Klay Thompson,34.0,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,2649.0,644.0,1376.0,0.468,268.0,647.0,0.414,376.0,729.0,0.516,0.565,186.0,218.0,0.853,49.0,236.0,285.0,160.0,66.0,40.0,128.0,139.0,1742.0,0.0,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8.0,26.1,4.2,2.9,7.1,0.129,2.4,-1.6,0.8,1.9,0.0,2017
24,Devin Booker,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,2730.0,606.0,1431.0,0.423,147.0,405.0,0.363,459.0,1026.0,0.447,0.475,367.0,441.0,0.832,46.0,203.0,249.0,268.0,72.0,21.0,241.0,242.0,1726.0,0.0,14.6,0.531,0.283,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,1.3,0.6,2.0,0.035,0.3,-2.3,-1.9,0.1,0.0,2017
25,Gordon Hayward,34.5,7.5,15.8,0.471,2.0,5.1,0.398,5.4,10.7,0.506,0.536,5.0,5.9,0.844,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,2516.0,545.0,1156.0,0.471,149.0,374.0,0.398,396.0,782.0,0.506,0.536,362.0,429.0,0.844,49.0,345.0,394.0,252.0,73.0,20.0,140.0,117.0,1601.0,0.0,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.6,0.5,5.0,4.5,0.0,2017
26,Blake Griffin,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,2076.0,479.0,971.0,0.493,38.0,113.0,0.336,441.0,858.0,0.514,0.513,320.0,421.0,0.76,112.0,385.0,497.0,300.0,57.0,22.0,142.0,157.0,1316.0,1.0,22.6,0.569,0.116,0.434,6.2,20.2,13.4,24.5,1.4,0.9,10.9,28.0,5.4,2.4,7.7,0.179,4.2,0.5,4.7,3.5,0.0,2017
27,Eric Bledsoe,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,2176.0,449.0,1034.0,0.434,104.0,310.0,0.335,345.0,724.0,0.477,0.485,388.0,458.0,0.847,52.0,268.0,320.0,418.0,91.0,31.0,224.0,164.0,1390.0,1.0,20.5,0.563,0.3,0.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,4.0,1.4,5.3,0.118,3.7,-0.1,3.6,3.1,0.0,2017
28,Mike Conley,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.497,0.545,4.6,5.3,0.859,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,68.0,2292.0,464.0,1009.0,0.46,171.0,419.0,0.408,293.0,590.0,0.497,0.545,316.0,368.0,0.859,31.0,210.0,241.0,433.0,92.0,19.0,156.0,126.0,1415.0,0.0,23.2,0.604,0.415,0.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10.0,0.209,6.0,0.8,6.8,5.1,0.0,2017
29,Brook Lopez,29.6,7.4,15.6,0.474,1.8,5.2,0.346,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,2222.0,555.0,1172.0,0.474,134.0,387.0,0.346,421.0,785.0,0.536,0.531,295.0,364.0,0.81,121.0,282.0,403.0,176.0,38.0,124.0,184.0,192.0,1539.0,0.0,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,2.9,-0.6,2.3,2.4,0.0,2017
30,Goran Dragić,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,2459.0,534.0,1124.0,0.475,117.0,289.0,0.405,417.0,835.0,0.499,0.527,298.0,377.0,0.79,62.0,217.0,279.0,423.0,89.0,13.0,212.0,199.0,1483.0,0.0,19.8,0.575,0.257,0.335,2.8,9.9,6.3,29.0,1.8,0.4,14.1,27.1,5.0,2.6,7.5,0.147,2.7,-0.1,2.6,2.9,0.0,2017
31,Joel Embiid,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,786.0,200.0,429.0,0.466,36.0,98.0,0.367,164.0,331.0,0.495,0.508,191.0,244.0,0.783,61.0,182.0,243.0,66.0,27.0,76.0,117.0,112.0,627.0,0.0,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,0.117,1.9,2.7,4.5,1.3,0.0,2017
32,Jabari Parker,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,50.0,1728.0,399.0,814.0,0.49,65.0,178.0,0.365,334.0,636.0,0.525,0.53,162.0,218.0,0.743,79.0,235.0,314.0,142.0,50.0,22.0,93.0,111.0,1025.0,0.0,19.1,0.563,0.219,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,2.6,1.5,4.0,0.112,2.1,-1.4,0.7,1.2,0.0,2017
33,Marc Gasol,34.2,7.2,15.7,0.459,1.4,3.6,0.388,5.8,12.1,0.48,0.503,3.8,4.5,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,2531.0,532.0,1160.0,0.459,104.0,268.0,0.388,428.0,892.0,0.48,0.503,278.0,332.0,0.837,60.0,404.0,464.0,338.0,67.0,99.0,166.0,171.0,1446.0,2.0,20.3,0.554,0.231,0.286,2.6,18.8,10.5,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,0.145,3.8,1.4,5.2,4.6,0.0,2017
34,Harrison Barnes,35.5,7.6,16.2,0.468,1.0,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,2803.0,599.0,1280.0,0.468,78.0,222.0,0.351,521.0,1058.0,0.492,0.498,242.0,281.0,0.861,93.0,301.0,394.0,116.0,65.0,15.0,102.0,128.0,1518.0,0.0,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,0.0,2017
35,Kevin Love,31.4,6.2,14.5,0.427,2.4,6.5,0.373,3.8,8.0,0.471,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,1885.0,370.0,867.0,0.427,145.0,389.0,0.373,225.0,478.0,0.471,0.51,257.0,295.0,0.871,148.0,518.0,666.0,116.0,53.0,21.0,122.0,125.0,1142.0,0.0,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4.0,2.4,6.4,0.163,3.3,-1.2,2.1,1.9,0.0,2017
36,Zach LaVine,37.2,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,1749.0,326.0,710.0,0.459,120.0,310.0,0.387,206.0,400.0,0.515,0.544,117.0,140.0,0.836,19.0,141.0,160.0,139.0,41.0,10.0,85.0,104.0,889.0,0.0,14.6,0.576,0.437,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,2.6,0.4,3.0,0.082,1.5,-1.4,0.1,0.9,0.0,2017
