Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
A.J. Price,WAS,57.0,22.0,22.4,0.39,0.35,0.427,0.475,0.79,2.0,3.6,0.6,0.1,7.7,12.4,0.501,8.2,4.9,26.4,1.3,0.2,18.0,1.0,1.2,-0.6,0.5,2.2,0.084,0.0,.354,12,2013
Aaron Brooks,SAC,53.0,20.0,18.8,0.453,0.373,0.511,0.532,0.769,1.5,2.2,0.6,0.2,7.1,11.8,0.555,7.9,4.6,18.0,1.5,0.8,18.1,0.8,0.0,-2.2,0.0,0.8,0.041,0.0,.341,13,2013
Aaron Gray,TOR,42.0,16.0,12.2,0.533,0.0,0.533,0.533,0.523,3.2,0.8,0.2,0.1,2.8,9.0,0.544,20.0,15.4,9.9,0.7,0.8,13.1,0.2,0.4,-4.3,-0.3,0.5,0.05,0.0,.415,10,2013
Al Harrington,ORL,10.0,0.0,11.9,0.351,0.267,0.444,0.421,0.75,2.7,1.0,0.4,0.1,5.1,10.3,0.434,19.9,12.8,13.7,1.8,0.6,25.1,-0.1,0.1,-4.5,-0.1,0.0,-0.012,0.0,.244,15,2013
Al Horford,ATL,74.0,74.0,37.2,0.543,0.5,0.544,0.545,0.644,10.2,3.2,1.1,1.1,17.4,19.8,0.56,23.0,15.7,15.3,1.5,2.2,21.8,4.7,4.1,1.9,2.7,8.8,0.153,0.0,.537,6,2013
Al Jefferson,UTA,78.0,78.0,33.1,0.494,0.118,0.5,0.495,0.77,9.2,2.1,1.0,1.1,17.8,20.9,0.522,25.9,16.3,12.0,1.6,2.7,25.3,4.3,3.3,2.4,2.8,7.7,0.143,0.0,.524,9,2013
Al-Farouq Aminu,NOH,76.0,71.0,27.2,0.475,0.211,0.486,0.479,0.737,7.7,1.4,1.2,0.7,7.3,13.7,0.519,26.2,16.9,7.8,2.4,2.1,14.6,0.7,2.4,-0.1,1.0,3.1,0.073,0.0,.329,14,2013
Alan Anderson,TOR,65.0,2.0,23.0,0.383,0.333,0.426,0.46,0.857,2.3,1.6,0.7,0.1,10.7,12.6,0.509,9.2,5.9,11.7,1.7,0.4,23.6,0.8,0.8,-1.8,0.1,1.6,0.052,0.0,.415,10,2013
Alec Burks,UTA,64.0,0.0,17.8,0.42,0.359,0.439,0.463,0.713,2.3,1.4,0.5,0.2,7.0,11.5,0.507,11.2,7.5,13.0,1.6,0.9,20.7,0.3,0.7,-2.6,-0.2,1.0,0.044,0.0,.524,9,2013
Alexey Shved,MIN,77.0,16.0,23.9,0.372,0.295,0.435,0.439,0.72,2.3,3.7,0.7,0.4,8.6,11.0,0.474,8.6,5.4,25.2,1.5,1.1,20.6,-0.6,1.4,-1.7,0.1,0.8,0.02,0.0,.378,12,2013
Alonzo Gee,CLE,82.0,82.0,31.0,0.41,0.315,0.45,0.456,0.795,3.9,1.6,1.3,0.4,10.3,10.5,0.505,11.7,7.3,8.2,2.2,0.9,16.9,0.5,1.5,-2.6,-0.4,1.9,0.036,0.0,.293,13,2013
Amar'e Stoudemire,NYK,29.0,0.0,23.5,0.577,0.0,0.577,0.577,0.808,5.0,0.4,0.3,0.7,14.2,22.1,0.637,15.1,12.4,3.6,0.8,2.7,25.7,2.1,0.6,0.7,0.5,2.7,0.191,0.0,.659,2,2013
Amir Johnson,TOR,81.0,38.0,28.7,0.554,0.385,0.558,0.559,0.727,7.5,1.5,1.0,1.4,10.0,17.3,0.591,20.0,15.6,8.7,1.8,3.8,16.1,4.4,2.9,1.0,1.8,7.3,0.151,0.0,.415,10,2013
Anderson Varejão,CLE,25.0,25.0,36.0,0.478,0.0,0.486,0.478,0.755,14.4,3.4,1.5,0.6,14.1,21.7,0.529,30.1,23.2,15.4,2.1,1.3,18.7,2.2,1.1,3.7,1.3,3.3,0.173,0.0,.293,13,2013
Andray Blatche,BRK,82.0,8.0,19.0,0.512,0.136,0.524,0.514,0.685,5.1,1.0,1.0,0.7,10.3,21.9,0.547,19.6,15.8,10.5,3.0,2.7,26.5,2.4,2.5,2.2,1.6,4.9,0.153,0.0,.598,4,2013
Andre Drummond,DET,60.0,10.0,20.7,0.608,0.5,0.609,0.61,0.371,7.6,0.5,1.0,1.6,7.9,21.6,0.578,27.2,21.2,4.1,2.5,6.1,17.2,2.2,2.3,2.5,1.4,4.5,0.172,0.0,.354,11,2013
Andre Iguodala,DEN,80.0,80.0,34.7,0.451,0.317,0.515,0.502,0.574,5.3,5.4,1.7,0.6,13.0,15.2,0.52,13.5,8.5,22.4,2.5,1.5,18.8,2.4,3.2,2.6,3.3,5.6,0.097,0.0,.695,3,2013
Andre Miller,DEN,82.0,11.0,26.2,0.479,0.266,0.504,0.493,0.84,2.9,5.9,0.9,0.1,9.6,15.7,0.548,9.1,6.2,32.2,1.7,0.4,17.9,3.9,1.5,0.9,1.6,5.4,0.12,0.0,.695,3,2013
Andrea Bargnani,TOR,35.0,25.0,28.7,0.399,0.309,0.436,0.444,0.844,3.7,1.1,0.6,0.7,12.7,11.2,0.482,12.3,7.6,6.6,1.1,1.8,23.8,-0.5,0.6,-2.7,-0.2,0.1,0.007,0.0,.415,10,2013
Andrei Kirilenko,MIN,64.0,64.0,31.8,0.507,0.292,0.566,0.538,0.752,5.7,2.8,1.5,1.0,12.4,17.6,0.59,15.1,10.2,14.4,2.4,2.4,17.4,3.4,2.6,3.5,2.9,6.0,0.142,0.0,.378,12,2013
Andrew Bogut,GSW,32.0,32.0,24.6,0.451,1.0,0.448,0.454,0.5,7.7,2.1,0.6,1.7,5.8,13.8,0.463,24.1,17.2,12.5,1.3,5.5,13.4,0.4,1.4,1.4,0.7,1.7,0.106,0.0,.573,6,2013
Andrew Goudelock,LAL,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.4,0.0,0.0,9.2,0.0,0.0,0.0,14.8,0.0,0.0,-15.9,0.0,0.0,-0.264,0.0,.549,7,2013
