Player,Team,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,TS%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,BPM,VORP,WS,WS/48,Share,W/L%,Seed,Year
Aaron Brooks,CHI,69.0,0.0,16.1,0.401,0.357,0.43,0.471,0.766,1.5,2.6,0.4,0.1,7.1,11.8,0.494,7.5,4.8,26.0,1.4,0.7,22.9,0.2,0.7,-2.6,-0.2,0.9,0.04,0.0,0.512,9,2016
Aaron Gordon,ORL,78.0,37.0,23.9,0.473,0.296,0.531,0.509,0.668,6.5,1.6,0.8,0.7,9.2,17.0,0.541,21.3,15.1,10.3,1.6,2.4,17.3,3.2,2.2,1.0,1.4,5.4,0.139,0.0,0.427,11,2016
Aaron Harrison,CHO,21.0,0.0,4.4,0.263,0.3,0.222,0.342,0.417,0.7,0.1,0.3,0.0,0.9,4.3,0.371,13.1,8.8,3.0,3.2,0.0,13.7,-0.2,0.1,-6.3,-0.1,0.0,-0.014,0.0,0.585,6,2016
Adreian Payne,MIN,52.0,2.0,9.3,0.366,0.281,0.389,0.397,0.654,2.1,0.6,0.3,0.2,2.5,5.6,0.422,21.5,13.3,8.9,1.7,1.8,17.7,-0.9,0.4,-6.2,-0.5,-0.5,-0.047,0.0,0.354,13,2016
Al Horford,ATL,82.0,82.0,32.1,0.505,0.344,0.557,0.547,0.798,7.3,3.2,0.8,1.5,15.2,19.4,0.565,18.2,12.4,16.7,1.3,3.6,20.6,4.9,4.5,3.8,3.9,9.4,0.172,0.0,0.585,4,2016
Al Jefferson,CHO,47.0,18.0,23.3,0.485,0.0,0.485,0.485,0.649,6.4,1.5,0.6,0.9,12.0,18.2,0.507,24.6,15.0,11.8,1.4,3.0,24.2,1.0,1.8,-0.5,0.4,2.8,0.123,0.0,0.585,6,2016
Al-Farouq Aminu,POR,82.0,82.0,28.5,0.416,0.361,0.468,0.503,0.737,6.1,1.7,0.9,0.6,10.2,12.7,0.533,18.6,11.5,8.8,1.5,1.8,16.9,1.7,2.3,0.1,1.2,4.0,0.082,0.0,0.537,5,2016
Alan Anderson,WAS,13.0,0.0,14.8,0.356,0.324,0.409,0.458,0.733,2.1,1.1,0.3,0.1,5.0,9.2,0.495,15.5,7.9,10.3,1.0,0.4,15.4,0.2,0.2,-2.3,0.0,0.3,0.078,0.0,0.5,10,2016
Alan Williams,PHO,10.0,0.0,6.8,0.417,0.0,0.417,0.417,0.643,3.8,0.5,0.4,0.5,2.9,21.1,0.481,39.2,30.3,11.7,2.9,6.0,22.6,0.1,0.2,-0.2,0.0,0.2,0.146,0.0,0.28,14,2016
Alec Burks,UTA,31.0,3.0,25.7,0.41,0.405,0.412,0.458,0.752,3.5,2.0,0.6,0.1,13.3,14.3,0.52,13.6,8.0,13.9,1.2,0.4,25.9,0.7,0.8,-0.4,0.3,1.5,0.09,0.0,0.488,9,2016
Alex Len,PHO,78.0,46.0,23.3,0.423,0.143,0.426,0.424,0.728,7.6,1.2,0.5,0.8,9.0,12.4,0.482,25.4,17.7,8.5,1.0,2.8,20.4,-0.5,1.8,-4.3,-1.0,1.3,0.035,0.0,0.28,14,2016
Alex Stepheson,MEM,8.0,0.0,9.1,0.333,0.0,0.333,0.333,0.333,3.5,0.2,0.1,0.6,2.8,14.8,0.341,14.5,21.8,4.3,0.7,6.0,19.8,0.0,0.1,-2.4,0.0,0.1,0.068,0.0,0.512,7,2016
Alexis Ajinça,NOP,59.0,17.0,14.6,0.476,0.0,0.478,0.476,0.839,4.6,0.5,0.3,0.6,6.0,13.8,0.514,25.9,17.3,5.8,1.1,3.4,20.4,0.2,0.9,-4.0,-0.4,1.0,0.058,0.0,0.366,12,2016
Allen Crabbe,POR,81.0,8.0,26.0,0.459,0.393,0.506,0.541,0.867,2.7,1.2,0.8,0.2,10.3,12.2,0.572,9.7,5.6,7.2,1.5,0.6,16.4,3.1,1.2,-1.0,0.5,4.3,0.098,0.0,0.537,5,2016
Alonzo Gee,NOP,73.0,38.0,22.4,0.518,0.283,0.59,0.551,0.667,3.4,1.0,0.9,0.2,4.5,8.4,0.572,13.0,8.3,6.2,1.9,0.7,9.2,1.0,0.9,-2.6,-0.2,1.9,0.056,0.0,0.366,12,2016
Amar'e Stoudemire,MIA,52.0,36.0,14.7,0.566,0.0,0.566,0.566,0.746,4.3,0.5,0.3,0.8,5.8,17.3,0.599,22.6,16.5,5.6,1.2,4.1,17.8,1.1,1.3,-0.6,0.3,2.4,0.15,0.0,0.585,3,2016
Amir Johnson,BOS,79.0,76.0,22.8,0.585,0.233,0.624,0.596,0.57,6.4,1.7,0.7,1.1,7.3,16.0,0.602,19.6,14.9,11.4,1.4,3.6,13.6,3.0,2.9,1.2,1.4,5.9,0.158,0.0,0.585,5,2016
Anderson Varejão,GSW,53.0,0.0,9.4,0.427,0.0,0.431,0.427,0.64,2.7,0.7,0.3,0.2,2.6,11.1,0.473,22.8,15.8,9.8,1.6,1.6,15.0,0.3,0.8,-2.9,-0.1,1.0,0.101,0.0,0.89,1,2016
Andre Drummond,DET,81.0,81.0,32.9,0.521,0.333,0.522,0.522,0.355,14.8,0.8,1.5,1.4,16.2,21.2,0.499,34.2,24.5,4.4,2.3,3.2,24.1,2.0,5.5,1.1,2.0,7.4,0.133,0.0,0.537,8,2016
Andre Iguodala,GSW,65.0,1.0,26.6,0.478,0.351,0.57,0.552,0.614,4.0,3.4,1.1,0.3,7.0,12.2,0.565,12.4,8.2,16.3,2.0,0.8,12.1,2.3,2.1,1.1,1.4,4.4,0.122,0.0,0.89,1,2016
Andre Miller,SAS,39.0,4.0,11.8,0.557,0.25,0.582,0.566,0.75,1.3,2.2,0.4,0.0,3.7,13.4,0.6,9.5,6.4,28.3,1.8,0.0,15.4,0.6,0.4,-1.9,0.0,1.0,0.1,0.0,0.817,2,2016
Andre Roberson,OKC,70.0,70.0,22.2,0.496,0.311,0.608,0.555,0.611,3.6,0.7,0.8,0.6,4.8,10.2,0.566,11.4,8.8,4.0,1.7,2.0,9.1,1.8,1.6,0.5,1.0,3.4,0.105,0.0,0.671,3,2016
Andrea Bargnani,BRK,46.0,0.0,13.8,0.455,0.188,0.471,0.461,0.825,2.1,0.4,0.1,0.2,6.6,11.8,0.5,12.4,8.6,4.8,0.3,1.1,23.2,0.1,0.0,-5.1,-0.5,0.2,0.013,0.0,0.256,14,2016
Andrew Bogut,GSW,70.0,66.0,20.7,0.627,1.0,0.626,0.629,0.48,7.0,2.3,0.5,1.6,5.4,15.9,0.623,26.0,18.3,14.8,1.1,5.8,11.4,2.6,2.9,2.4,1.6,5.4,0.18,0.0,0.89,1,2016
Andrew Goudelock,HOU,8.0,0.0,6.2,0.45,0.111,0.727,0.475,0.75,0.2,0.5,0.8,0.2,2.8,12.4,0.506,2.2,2.2,13.3,5.9,3.3,24.8,-0.1,0.1,-3.6,0.0,0.0,-0.033,0.0,0.5,8,2016
Andrew Nicholson,ORL,56.0,0.0,14.7,0.471,0.36,0.536,0.537,0.785,3.6,0.4,0.2,0.4,6.9,14.8,0.567,22.8,13.5,4.8,0.6,2.2,20.4,0.8,0.8,-1.1,0.2,1.6,0.092,0.0,0.427,11,2016
Andrew Wiggins,MIN,81.0,81.0,35.1,0.459,0.3,0.486,0.481,0.761,3.6,2.0,1.0,0.6,20.7,16.5,0.543,7.5,5.9,10.1,1.4,1.3,27.2,3.4,0.7,-1.3,0.5,4.1,0.069,0.0,0.354,13,2016
Anthony Bennett,TOR,19.0,0.0,4.4,0.296,0.214,0.385,0.352,0.9,1.2,0.0,0.3,0.0,1.5,10.4,0.446,22.8,15.7,0.0,3.1,0.0,19.2,0.0,0.1,-3.9,0.0,0.1,0.054,0.0,0.683,2,2016
Anthony Brown,LAL,29.0,11.0,20.7,0.31,0.286,0.339,0.389,0.85,2.4,0.7,0.5,0.2,4.0,4.9,0.427,11.3,6.3,4.8,1.2,0.7,11.0,-0.4,0.1,-5.5,-0.5,-0.3,-0.024,0.0,0.207,15,2016
Anthony Davis,NOP,61.0,61.0,35.5,0.493,0.324,0.511,0.508,0.758,10.3,1.9,1.3,2.0,24.3,25.0,0.559,26.4,16.1,10.0,1.8,4.7,29.6,4.4,2.8,3.9,3.2,7.2,0.16,0.0,0.366,12,2016
Anthony Morrow,OKC,68.0,6.0,13.6,0.408,0.387,0.442,0.527,0.744,0.9,0.4,0.3,0.1,5.6,10.7,0.543,5.8,3.6,3.7,1.2,0.4,16.9,1.4,0.5,-1.1,0.2,1.9,0.097,0.0,0.671,3,2016
Anthony Tolliver,DET,72.0,5.0,18.6,0.386,0.36,0.5,0.533,0.617,3.2,0.7,0.4,0.2,5.3,10.2,0.543,16.1,9.3,5.6,1.0,0.9,12.4,1.5,1.3,0.4,0.8,2.8,0.1,0.0,0.537,8,2016
Archie Goodwin,PHO,57.0,13.0,19.5,0.417,0.232,0.474,0.444,0.674,2.5,2.1,0.5,0.2,8.9,11.1,0.498,11.5,6.9,17.2,1.2,1.0,23.2,-0.4,0.5,-3.7,-0.5,0.1,0.004,0.0,0.28,14,2016
Aron Baynes,DET,81.0,1.0,15.2,0.505,0.0,0.508,0.505,0.764,4.7,0.6,0.3,0.6,6.3,17.8,0.563,22.5,17.0,6.6,0.9,3.2,18.5,2.4,1.7,-0.2,0.6,4.1,0.158,0.0,0.537,8,2016
Arron Afflalo,NYK,71.0,57.0,33.4,0.443,0.382,0.469,0.5,0.84,3.7,2.0,0.4,0.1,12.8,10.9,0.531,11.0,6.1,9.9,0.5,0.3,17.9,1.8,0.9,-2.9,-0.5,2.7,0.055,0.0,0.39,13,2016
Austin Rivers,LAC,67.0,7.0,21.9,0.438,0.335,0.495,0.498,0.681,1.9,1.5,0.7,0.1,8.9,11.1,0.523,7.9,4.8,10.6,1.6,0.5,19.4,0.6,1.3,-2.7,-0.2,1.9,0.063,0.0,0.646,4,2016
Avery Bradley,BOS,76.0,72.0,33.4,0.447,0.361,0.505,0.52,0.78,2.9,2.1,1.5,0.2,15.2,13.2,0.538,7.3,4.6,9.8,2.2,0.6,19.8,2.0,2.8,-0.1,1.2,4.8,0.09,0.0,0.585,5,2016
Axel Toupane,DEN,21.0,0.0,14.5,0.357,0.325,0.4,0.45,0.765,1.5,0.7,0.3,0.3,3.6,7.1,0.49,8.5,5.6,7.0,1.2,1.6,12.0,0.2,0.1,-4.7,-0.2,0.3,0.049,0.0,0.402,11,2016
Ben McLemore,SAC,68.0,53.0,21.2,0.429,0.362,0.474,0.502,0.718,2.2,1.2,0.8,0.1,7.8,8.6,0.531,8.5,5.6,7.9,1.7,0.6,17.6,-0.4,0.7,-3.8,-0.7,0.3,0.01,0.0,0.402,10,2016
Beno Udrih,MIA,44.0,5.0,16.1,0.434,0.341,0.461,0.472,0.9,1.6,2.6,0.3,0.0,4.7,9.5,0.496,10.0,5.8,24.9,1.0,0.1,16.7,-0.1,0.5,-3.6,-0.3,0.4,0.029,0.0,0.585,3,2016
Bismack Biyombo,TOR,82.0,22.0,22.0,0.542,0.0,0.544,0.542,0.628,8.0,0.4,0.2,1.6,5.5,14.9,0.586,29.5,20.8,2.4,0.5,6.1,11.5,2.8,3.1,-0.2,0.8,5.9,0.156,0.0,0.683,2,2016
Blake Griffin,LAC,35.0,35.0,33.4,0.499,0.333,0.504,0.504,0.727,8.4,4.9,0.8,0.5,21.4,22.1,0.544,22.3,13.7,27.2,1.2,1.1,29.8,2.2,1.6,4.5,1.9,3.8,0.156,0.0,0.646,4,2016
Boban Marjanović,SAS,54.0,4.0,9.4,0.603,0.0,0.603,0.603,0.763,3.6,0.4,0.2,0.4,5.5,27.7,0.662,26.2,21.7,6.6,1.2,3.5,22.8,2.3,1.2,4.3,0.8,3.4,0.325,0.0,0.817,2,2016
Bobby Portis,CHI,62.0,4.0,17.8,0.427,0.308,0.443,0.445,0.727,5.4,0.8,0.4,0.4,7.0,13.8,0.469,20.0,16.1,7.5,1.1,1.5,20.7,0.3,1.3,-3.3,-0.4,1.5,0.066,0.0,0.512,9,2016
Bojan Bogdanović,BRK,79.0,39.0,26.8,0.433,0.382,0.474,0.519,0.833,3.2,1.3,0.4,0.1,11.2,10.7,0.55,11.8,6.8,7.3,0.7,0.2,19.4,0.9,0.0,-3.5,-0.8,0.9,0.021,0.0,0.256,14,2016
Boris Diaw,SAS,76.0,4.0,18.2,0.527,0.362,0.564,0.56,0.737,3.1,2.3,0.3,0.3,6.4,14.0,0.582,13.9,9.6,18.4,1.0,1.2,17.0,1.6,2.2,0.8,1.0,3.8,0.132,0.0,0.817,2,2016
Bradley Beal,WAS,55.0,35.0,31.1,0.449,0.387,0.481,0.515,0.767,3.4,2.9,1.0,0.2,17.4,15.5,0.547,9.8,6.2,15.6,1.5,0.5,25.3,1.4,1.3,0.3,1.0,2.7,0.076,0.0,0.5,10,2016
Brandan Wright,MEM,12.0,2.0,17.7,0.673,0.0,0.673,0.673,0.542,3.6,0.5,0.4,1.2,6.9,18.3,0.663,16.3,11.6,4.7,1.2,6.6,15.4,0.4,0.2,0.7,0.1,0.7,0.147,0.0,0.512,7,2016
Branden Dawson,LAC,6.0,0.0,4.8,0.4,0.0,0.4,0.4,1.0,0.7,0.0,0.0,0.2,0.8,7.1,0.46,7.4,7.5,0.0,0.0,2.7,8.5,0.0,0.0,-5.7,0.0,0.0,0.069,0.0,0.646,4,2016
Brandon Bass,LAL,66.0,0.0,20.3,0.549,0.0,0.552,0.549,0.845,4.3,1.1,0.5,0.8,7.2,17.3,0.619,15.0,11.4,9.2,1.2,3.2,13.9,3.4,0.7,0.6,0.9,4.1,0.146,0.0,0.207,15,2016
Brandon Jennings,ORL,48.0,7.0,18.1,0.368,0.329,0.409,0.452,0.731,2.0,3.5,0.6,0.1,6.9,13.7,0.491,10.4,6.1,29.2,1.7,0.7,20.0,0.8,0.7,-0.4,0.3,1.5,0.082,0.0,0.427,11,2016
Brandon Knight,PHO,52.0,50.0,36.0,0.415,0.342,0.461,0.482,0.852,3.9,5.1,1.2,0.4,19.6,14.7,0.522,9.9,5.9,24.4,1.6,0.9,26.2,0.7,0.9,-0.6,0.6,1.7,0.043,0.0,0.28,14,2016
